Run,BestFitness
1,4414.0
2,4558.4
3,5140.6
4,5026.8
5,4855.4
6,4384.6
7,4413.2
8,4382.4
9,4556.2
10,4680.2
11,4558.6
12,5151.8
13,4383.8
14,4591.2
15,8899.0
16,4668.6
17,4695.0
18,4567.2
19,4741.4
20,4666.8
21,4702.2
22,4432.0
23,4838.2
24,4551.0
25,4284.0
26,4310.2
27,7437.4
28,4673.6
29,4523.8
30,4431.8
31,4275.6
32,4310.8
33,4295.8
34,4556.6
35,5095.6
36,4780.0
37,4663.4
38,4395.6
39,4597.8
40,4686.2
41,4717.6
42,4275.6
43,4590.2
44,4588.2
45,4674.6
46,4675.4
47,4200.6
48,4315.2
49,4684.0
50,4372.4
51,4304.0
52,4420.2
53,4271.2
54,4686.6
55,4530.0
56,4305.6
57,4298.0
58,4719.8
59,4843.6
60,4400.4
61,8887.8
62,4200.6
63,4325.8
64,4436.4
65,4678.0
66,4310.4
67,4400.4
68,4706.2
69,4767.8
70,4381.8
71,4318.2
72,4459.4
73,4703.4
74,4311.8
75,4756.4
76,4769.8
77,4305.6
78,4318.2
79,4397.0
80,4740.0
81,4304.8
82,4677.4
83,5056.4
84,4356.6
85,4704.0
86,4305.6
87,4215.8
88,4690.6
89,4357.8
90,4412.8
91,4224.0
92,4556.2
93,4730.0
94,4787.2
95,4430.8
96,4651.0
97,5056.4
98,4413.4
99,4370.6
100,4383.4
