Run,BestFitness
1,30.7448
2,31.1458
3,31.2326
4,31.376
5,32.1222
6,31.1244
7,31.0946
8,31.2326
9,31.3498
10,31.03
11,31.4648
12,31.0946
13,31.4334
14,30.7448
15,32.0234
16,31.0946
17,31.2782
18,30.7448
19,31.6506
20,31.2796
21,31.2326
22,30.8186
23,31.368
24,31.0888
25,31.4648
26,31.0888
27,31.376
28,30.7448
29,30.8186
30,32.8896
31,30.7448
32,31.5282
33,31.9984
34,30.7448
35,31.4676
36,31.03
37,32.7488
38,31.1622
39,32.0416
40,30.7448
41,31.2326
42,32.2072
43,161.9186
44,31.3186
45,31.0888
46,163.1388
47,31.9244
48,31.6432
49,31.0946
50,31.2602
51,32.0384
52,30.8186
53,31.2232
54,30.8186
55,32.4778
56,32.145
57,30.7448
58,31.1244
59,31.6514
60,31.1622
61,30.7448
62,31.283
63,31.368
64,31.0946
65,31.9774
66,30.7448
67,31.4314
68,31.6962
69,33.1188
70,32.099
71,31.6514
72,32.1214
73,31.1982
74,31.2326
75,31.2782
76,30.8186
77,31.6962
78,31.03
79,31.2796
80,31.4314
81,33.0218
82,32.0286
83,31.1622
84,30.8186
85,31.1982
86,31.4314
87,31.2326
88,31.4314
89,31.2326
90,31.3372
91,31.0888
92,31.2796
93,30.8186
94,31.1244
95,31.0888
96,31.9844
97,31.1244
98,31.4648
99,31.03
100,31.4334
