Run,BestFitness
1,59556.2
2,58102.6
3,57667.0
4,58541.8
5,57235.4
6,56483.2
7,56678.0
8,59431.4
9,56915.0
10,56303.6
11,57523.8
12,58935.4
13,59596.0
14,61536.0
15,59594.8
16,55382.4
17,56380.6
18,58426.8
19,58023.0
20,58569.0
21,55759.6
22,56763.8
23,56678.0
24,56699.2
25,57527.0
26,56623.6
27,57150.6
28,56785.4
29,53839.4
30,56429.0
31,56798.0
32,58265.8
33,57596.0
34,53919.8
35,58192.6
36,59754.0
37,56785.4
38,56916.0
39,56483.2
40,57091.2
41,58673.4
42,53887.2
43,59478.4
44,56462.8
45,55535.6
46,57741.4
47,57241.2
48,53839.4
49,56378.8
50,57637.4
51,59104.4
52,56936.2
53,58846.2
54,53429.4
55,56785.4
56,57062.2
57,57045.2
58,56030.4
59,57241.2
60,56763.8
61,57045.2
62,57258.2
63,56619.2
64,56916.0
65,59136.4
66,57245.4
67,59142.0
68,56909.8
69,55378.0
70,56916.0
71,56316.4
72,53879.2
73,56901.6
74,56030.4
75,55579.0
76,58632.6
77,58082.8
78,57252.6
79,57788.6
80,55372.8
81,53887.2
82,55522.0
83,55781.8
84,56842.4
85,57179.2
86,59459.2
87,58618.2
88,56796.8
89,56420.0
90,55203.2
91,55426.0
92,56763.8
93,60962.6
94,59597.6
95,58793.2
96,56465.6
97,56420.0
98,57816.0
99,56798.0
100,60531.4
