Run,BestFitness
1,45980.8
2,45980.8
3,45922.8
4,45922.8
5,45939.8
6,45922.8
7,46039.0
8,45922.8
9,45980.8
10,45922.8
11,45980.8
12,46054.6
13,46022.8
14,46039.0
15,46070.8
16,46035.0
17,46083.6
18,46042.4
19,45922.8
20,46022.8
21,46042.4
22,46039.0
23,46039.0
24,46035.0
25,46121.6
26,45980.8
27,45980.8
28,45922.8
29,46039.0
30,46022.8
31,45922.8
32,46039.0
33,45922.8
34,46096.4
35,45939.8
36,45939.8
37,46035.0
38,45980.8
39,45980.8
40,45939.8
41,45980.8
42,46054.6
43,46022.8
44,45922.8
45,46042.4
46,45980.8
47,46096.4
48,46070.8
49,46054.6
50,46042.4
51,46022.8
52,46039.0
53,46022.8
54,46070.8
55,46039.0
56,46083.6
57,46022.8
58,45922.8
59,46047.4
60,46035.0
61,46073.6
62,45939.8
63,46035.0
64,46064.6
65,46039.0
66,45922.8
67,46022.8
68,46035.0
69,46035.0
70,46022.8
71,46022.8
72,46035.0
73,45939.8
74,45980.8
75,46035.0
76,45939.8
77,45980.8
78,45939.8
79,45922.8
80,46094.8
81,46039.0
82,45922.8
83,45939.8
84,45980.8
85,45922.8
86,45922.8
87,45922.8
88,45922.8
89,45980.8
90,46022.8
91,45980.8
92,46042.4
93,46121.0
94,46042.4
95,45980.8
96,46022.8
97,46022.8
98,46078.8
99,46064.6
100,45939.8
