Run,BestFitness
1,1.528
2,1.514
3,1.46
4,1.46
5,1.46
6,1.46
7,1.46
8,1.46
9,1.46
10,1.46
11,1.472
12,1.514
13,1.46
14,1.46
15,1.514
16,1.46
17,1.52
18,1.46
19,1.46
20,1.46
21,1.472
22,1.46
23,1.556
24,1.46
25,1.472
26,1.46
27,1.472
28,1.46
29,1.46
30,1.46
31,1.46
32,1.46
33,1.46
34,1.528
35,1.46
36,1.46
37,1.46
38,1.46
39,1.46
40,1.46
41,1.46
42,1.514
43,1.472
44,1.514
45,1.52
46,1.46
47,1.46
48,1.46
49,1.46
50,1.46
51,1.46
52,1.46
53,1.46
54,1.46
55,1.46
56,1.52
57,1.46
58,1.46
59,1.46
60,1.526
61,1.46
62,1.514
63,1.514
64,1.472
65,1.46
66,1.46
67,1.46
68,1.46
69,1.514
70,1.472
71,1.46
72,1.514
73,1.46
74,1.472
75,1.472
76,1.472
77,1.514
78,1.46
79,1.46
80,1.46
81,1.46
82,1.514
83,1.46
84,1.46
85,1.46
86,1.46
87,1.46
88,1.46
89,1.514
90,1.46
91,1.472
92,1.526
93,1.514
94,1.46
95,1.46
96,1.472
97,1.46
98,1.46
99,1.46
100,1.46
