Run,BestFitness
1,21.65
2,21.942
3,21.758
4,22.816
5,22.254
6,22.138
7,21.714
8,21.772
9,22.78
10,22.34
11,22.248
12,22.626
13,22.78
14,21.678
15,21.636
16,21.698
17,21.758
18,21.678
19,21.65
20,22.254
21,22.254
22,23.302
23,22.998
24,21.586
25,21.906
26,22.312
27,21.906
28,22.168
29,22.928
30,22.396
31,22.998
32,21.586
33,21.636
34,21.586
35,21.906
36,22.874
37,21.758
38,23.212
39,22.476
40,23.082
41,21.586
42,22.34
43,22.254
44,21.698
45,21.906
46,22.396
47,23.036
48,21.97
49,22.854
50,21.636
51,23.082
52,21.942
53,21.556
54,22.522
55,21.556
56,22.248
57,22.646
58,23.132
59,21.556
60,21.906
61,21.586
62,23.12
63,21.65
64,22.486
65,22.394
66,22.794
67,21.698
68,22.312
69,21.636
70,21.65
71,21.97
72,22.172
73,23.432
74,23.268
75,23.114
76,21.636
77,21.758
78,22.142
79,22.452
80,21.97
81,23.186
82,23.002
83,21.556
84,23.178
85,21.636
86,21.772
87,21.97
88,22.394
89,21.586
90,21.694
91,22.34
92,22.34
93,21.758
94,22.254
95,22.452
96,22.842
97,21.556
98,23.186
99,22.476
100,21.65
