new_column,filterOff,HeaderCompressionOff,mtOff,tmOff,Files,BlockSize,x,Performance
3,1,1,1,1,70,4,4,12757.4
2,0,0,0,0,0,8,0,11424.2
3,1,0,0,1,10,1,2,14405.4
4,1,1,1,0,0,2048,0,35617.2
2,1,1,0,1,10,1024,0,5739.4
1,1,0,0,1,0,128,10,85641.6
1,1,1,1,1,0,32,0,18032.6
3,0,1,1,1,0,4096,10,48107.4
3,1,1,0,1,80,64,10,48524.0
4,1,1,0,1,80,32,6,19786.4
4,0,0,0,0,100,32,0,8945.4
3,0,0,0,0,70,2048,4,12335.8
2,0,0,0,0,30,4096,4,4580.4
4,1,0,1,1,50,32,10,415186.2
5,0,0,1,0,60,16,6,47491.6
1,1,0,1,0,70,1,8,125497.6
3,1,1,1,0,60,8,2,12531.8
2,1,0,1,1,60,1024,0,17640.0
2,0,1,0,1,40,512,2,4836.4
4,0,0,1,0,0,1024,0,35334.6
4,1,0,1,1,0,4,10,420375.0
4,1,0,1,0,70,4,6,48946.4
5,0,0,1,1,30,32,4,9133.4
2,0,1,0,1,100,512,2,4662.6
5,1,0,1,1,0,256,10,299264.4
4,0,0,1,0,60,256,0,35779.8
4,0,1,0,0,40,512,2,8988.6
5,0,1,0,0,90,64,6,47572.8
2,1,1,0,0,70,64,4,4416.2
2,0,1,1,1,40,4,2,17613.2
5,1,1,1,1,30,4,0,9135.0
2,0,0,0,1,90,32,8,99185.2
2,1,0,1,0,40,512,10,103019.8
4,1,1,0,1,0,256,8,75898.2
2,0,1,0,0,40,2048,0,4845.0
4,0,1,1,0,100,16,0,35806.4
5,1,0,1,0,0,256,0,9237.4
5,1,0,1,0,60,256,2,9228.6
2,1,0,1,0,0,64,4,18441.6
2,0,1,0,0,70,512,2,4773.8
5,0,0,1,1,60,4,2,9227.2
4,1,1,1,0,60,8,8,124443.6
2,0,1,0,0,50,256,0,4852.2
3,0,0,1,0,70,64,0,12182.4
5,0,0,1,1,0,4,0,9282.2
2,1,0,0,0,40,2,0,7462.2
5,1,0,1,0,20,4096,6,47541.8
4,1,1,0,1,100,16,0,8970.6
2,0,0,1,0,0,4096,4,18528.6
5,1,0,1,0,40,64,6,47668.8
2,1,1,1,0,20,4096,4,12073.2
5,1,0,0,0,40,2,8,122545.4
2,1,0,1,1,60,4096,4,11827.8
1,0,0,1,0,90,4096,6,90951.2
3,1,1,1,0,50,256,0,12171.6
2,0,1,0,0,50,256,0,4852.2
2,1,0,1,0,40,2,0,17626.8
5,1,0,0,0,40,1024,0,9254.0
2,1,0,0,1,50,1,0,11169.4
2,0,1,0,0,60,256,4,4441.6
5,1,0,0,0,40,512,0,9210.0
2,1,1,0,0,50,16,6,85041.4
5,0,1,0,0,50,16,0,9159.6
3,1,1,1,0,50,2,10,49019.6
5,1,0,0,1,50,256,2,9132.8
2,1,0,1,0,10,512,0,17644.6
3,1,0,1,0,50,4,0,12864.0
3,1,1,1,1,60,4096,4,12082.8
3,1,1,0,0,70,256,4,12283.4
2,1,1,0,0,50,1024,0,4860.0
2,1,1,0,0,70,512,0,4778.8
4,1,0,1,0,70,256,4,43595.2
3,1,0,1,0,50,4,0,12864.0
3,0,1,0,1,40,16,6,11311.8
1,0,1,0,0,50,16,0,17676.4
5,0,1,0,0,50,16,0,9159.6
3,1,0,1,1,90,4096,8,37669.0
5,1,1,0,0,40,16,0,9209.6
3,0,0,1,0,60,32,0,12164.4
3,1,0,1,1,50,4096,4,12104.2
3,0,1,1,1,50,1,0,14560.0
3,1,0,1,0,20,2048,0,12149.6
3,1,1,1,0,50,4,8,37473.8
5,1,1,0,0,10,512,0,9182.2
4,0,1,0,1,70,128,6,19504.6
2,0,1,1,1,60,512,8,102733.0
5,0,0,0,1,20,16,6,47547.4
5,1,1,1,0,70,512,0,9147.8
2,1,1,0,0,10,512,0,5828.8
5,1,1,0,0,40,4096,0,9119.2
3,1,0,1,1,20,2048,0,12220.8
5,1,0,1,1,70,2,0,9118.0
3,1,0,1,0,20,2048,0,12149.6
5,1,0,1,0,70,512,0,9212.4
4,1,1,0,1,40,128,8,41214.8
3,0,1,0,0,70,128,6,10718.6
5,1,0,0,0,40,512,8,122483.8
4,1,1,0,0,90,4096,10,112698.0
2,1,0,1,0,20,512,0,17672.2
3,0,1,0,0,10,2048,4,12495.0
