new_column4,new_column3,new_column2,new_column,sendfile,basicAuth,maxClients,compressionLevel,Performance
1,0,2,2,0,1,4096,5,337.4748
0,1,1,1,1,1,2048,5,337.4748
1,1,2,1,1,1,2048,5,337.4748
1,2,2,1,0,1,2048,5,165.883
1,0,2,1,0,0,1024,9,337.4748
1,0,2,1,1,1,2048,0,166.0536
0,2,2,2,0,1,4096,1,164.1336
1,0,2,1,1,1,512,1,337.4748
1,1,1,1,1,1,1024,5,337.4748
0,1,2,1,0,1,2048,5,337.4748
0,1,1,2,1,0,4096,5,337.4748
0,2,2,2,0,0,4096,0,337.4748
0,0,1,2,1,0,2048,5,337.4748
1,0,2,1,0,1,4096,0,166.4262
1,0,2,1,1,1,1024,0,165.3652
0,1,2,1,0,1,1024,5,337.4748
0,1,1,2,0,0,512,1,337.4748
1,0,1,1,1,0,512,5,337.4748
1,0,2,1,0,1,512,9,337.4748
0,0,2,1,1,1,2048,0,166.6984
1,0,2,1,1,0,512,9,337.4748
0,1,2,1,0,1,4096,0,32.1136
0,2,1,2,1,1,2048,5,337.4748
0,2,1,2,0,0,512,0,337.4748
1,0,2,2,1,0,1024,1,337.4748
0,2,1,1,1,0,1024,5,337.4748
1,2,2,1,0,1,1024,0,337.4748
0,0,2,1,0,1,512,9,337.4748
0,1,2,2,1,1,512,5,337.4748
0,0,2,1,0,0,4096,5,337.4748
0,2,2,0,0,0,512,9,164.7462
0,2,1,2,0,1,2048,9,337.4748
0,1,1,2,1,1,4096,0,337.4748
0,2,1,1,0,1,512,1,337.4748
0,0,2,2,1,1,512,5,337.4748
0,2,2,0,0,1,1024,5,164.4738
1,2,2,2,0,1,1024,0,337.4748
1,1,1,1,0,0,512,1,337.4748
1,2,2,2,0,1,4096,5,165.2836
0,2,2,1,1,1,4096,5,166.794
1,2,2,2,1,1,512,0,337.4748
0,0,2,2,1,0,4096,0,163.2174
0,2,2,1,1,1,2048,5,167.052
0,2,2,2,0,0,1024,5,165.2936
0,2,2,0,0,1,4096,5,165.3656
0,0,2,1,1,1,2048,1,337.4748
0,2,1,1,0,1,4096,5,337.4748
1,2,1,1,0,1,512,1,337.4748
0,2,2,0,0,1,1024,5,164.4738
1,2,2,2,0,1,1024,9,165.0296
0,2,2,1,1,0,2048,5,167.4502
0,2,1,1,1,0,4096,5,337.4748
1,2,1,2,0,1,1024,1,337.4748
1,2,1,2,0,1,512,9,337.4748
0,2,2,2,1,0,1024,0,337.4748
1,2,2,0,0,1,1024,5,164.6338
0,2,2,2,0,0,1024,5,165.2936
0,1,2,0,0,0,1024,1,337.4748
1,0,2,2,1,1,1024,9,337.4748
0,2,2,2,0,1,512,9,165.1012
0,2,2,2,1,0,1024,0,337.4748
1,2,2,1,0,1,512,9,165.501
0,1,2,0,0,0,512,1,337.4748
1,0,2,2,0,0,1024,0,167.1676
0,2,2,2,0,1,512,9,165.1012
1,0,1,2,0,1,2048,9,337.4748
1,2,2,1,0,1,1024,1,166.5726
0,2,2,0,0,1,4096,5,165.3656
0,0,2,1,1,1,1024,9,337.4748
1,2,1,1,0,1,2048,5,337.4748
1,2,2,2,0,0,1024,0,337.4748
0,0,2,0,0,0,1024,0,165.2612
0,2,2,2,0,1,512,9,165.1012
0,2,2,1,0,1,4096,0,337.4748
1,2,2,0,0,0,512,9,165.0278
0,1,2,2,0,1,2048,9,337.4748
1,2,2,2,0,0,1024,0,337.4748
1,0,2,2,0,1,512,9,337.4748
0,0,2,2,0,1,512,0,165.7776
1,2,1,0,0,0,2048,0,337.4748
1,2,2,0,0,1,512,9,164.4074
1,2,1,0,0,1,1024,0,337.4748
0,2,2,1,0,1,512,0,337.4748
1,1,2,2,1,1,512,9,337.4748
1,2,2,0,1,1,1024,0,337.4748
0,2,2,2,0,0,512,0,337.4748
0,0,2,1,0,1,4096,9,337.4748
1,2,2,2,0,0,512,1,164.9142
0,0,2,0,0,0,2048,0,164.191
1,2,1,2,0,0,1024,0,337.4748
1,2,1,2,0,0,2048,0,337.4748
0,0,2,0,1,1,1024,9,337.4748
0,1,1,1,1,0,2048,9,337.4748
1,2,2,0,0,1,1024,0,337.4748
1,2,2,0,0,0,512,9,165.0278
1,2,2,2,1,1,512,9,164.544
0,2,2,0,1,1,512,0,337.4748
1,2,1,1,0,1,512,9,337.4748
0,0,2,2,0,0,512,0,161.9756
1,0,2,2,1,0,512,1,337.4748
