ee_instrument,simplifycfg,ipsccp,called_value_propagation,basicaa,instcombine,inline,mergereturn,jump_threading,pgo_memop_opt,tailcallelim,licm,sink,gvn,sccp,adce,Performance
1,1,0,1,1,1,0,0,1,1,1,1,0,0,0,0,83106.0
1,0,0,1,1,0,0,0,1,0,1,0,0,0,1,0,72775.2
1,0,0,0,1,0,1,0,1,1,1,1,1,1,1,1,81376.8
1,1,1,0,1,0,1,0,0,0,0,1,1,0,1,0,71027.4
0,0,1,1,0,0,1,1,0,1,1,1,0,1,0,0,90999.0
0,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,90051.6
0,1,0,1,0,1,0,0,0,0,1,0,0,1,0,1,75824.2
1,0,0,1,1,0,0,0,1,0,1,1,1,0,0,1,80580.0
1,0,1,1,0,1,1,1,0,1,1,0,0,1,0,1,96735.4
1,0,1,1,0,1,1,0,0,1,0,0,0,1,1,1,95291.6
1,0,0,0,0,0,0,0,0,1,1,1,0,1,0,1,69330.4
0,0,1,1,1,1,1,0,1,1,1,1,0,1,0,1,99930.6
1,1,1,0,0,0,1,1,0,0,1,1,0,0,1,1,74910.6
1,0,0,1,1,1,0,0,0,0,1,1,1,1,1,0,76853.6
0,0,1,1,1,1,0,0,1,1,1,0,0,1,1,1,92010.0
1,1,1,1,1,1,1,1,1,0,1,0,1,0,1,1,93763.4
1,1,1,1,0,0,1,0,1,1,0,1,1,0,1,0,92020.8
1,0,0,0,0,0,1,1,0,1,1,1,1,1,0,0,72952.6
0,1,1,1,1,1,0,1,1,0,1,1,1,1,0,0,85617.0
1,0,1,1,1,1,0,1,0,1,1,0,1,0,1,1,91864.2
1,0,0,0,0,1,1,0,1,1,0,1,0,0,0,1,76060.4
1,1,1,0,0,1,0,1,0,1,1,0,0,1,1,1,77667.0
1,0,0,1,1,1,0,1,1,1,1,0,0,1,0,1,86715.2
0,1,0,0,0,0,1,1,0,1,1,1,1,1,1,1,76895.6
0,1,1,0,0,0,1,1,1,1,0,0,0,1,1,0,75079.8
1,0,0,1,1,1,0,0,0,1,0,0,0,0,1,1,77792.0
0,0,0,1,1,1,1,0,1,0,1,0,0,1,1,1,86436.6
1,1,1,1,0,0,0,0,1,0,1,1,1,1,0,0,84174.4
1,0,1,1,1,0,0,0,0,1,1,1,1,0,1,1,92455.6
1,0,1,1,1,1,0,0,0,0,1,1,1,1,0,1,85715.2
1,1,0,0,0,0,0,1,0,1,1,0,1,1,1,0,66880.8
0,1,1,0,0,0,1,0,0,1,1,1,0,0,1,1,81255.0
0,1,1,1,0,0,0,0,1,1,0,0,1,0,1,1,88896.2
0,0,1,1,0,0,1,1,0,1,0,1,1,0,1,1,94380.8
1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,65808.6
1,0,1,1,0,0,0,1,0,0,0,1,0,1,0,0,77578.0
0,0,0,1,1,1,1,0,1,1,1,0,0,1,1,1,93772.8
1,0,0,0,1,1,1,1,0,0,1,0,0,0,0,1,68005.6
1,1,0,0,1,1,0,0,1,0,1,1,1,1,0,1,66822.6
1,1,1,0,1,0,1,1,0,1,1,1,0,0,0,1,81609.0
0,0,1,0,1,0,1,1,0,0,1,0,0,0,0,1,73073.8
1,0,0,0,0,0,0,1,0,1,1,1,1,0,0,0,66953.4
0,1,1,0,0,1,1,0,0,1,1,1,0,0,1,1,84019.4
1,1,0,0,0,1,1,0,1,0,1,1,1,1,1,1,75818.2
1,1,0,0,1,1,0,1,0,0,0,1,0,1,0,0,60815.0
1,0,1,1,0,0,0,1,1,0,1,1,1,1,0,1,87354.4
1,1,0,0,1,0,0,0,1,1,1,0,1,0,0,1,69848.2
0,1,1,0,0,1,0,0,1,1,0,1,0,1,1,1,76849.2
1,1,0,0,1,0,0,1,1,0,1,1,1,0,0,1,66279.8
1,0,0,1,0,0,1,1,0,0,0,1,1,1,0,1,80771.6
1,0,0,0,1,0,0,0,0,1,1,1,1,0,0,0,67384.8
1,1,0,0,1,1,0,1,0,0,1,0,1,0,0,1,65042.2
1,1,0,0,1,0,0,1,1,1,0,1,0,0,0,1,68628.0
1,0,0,0,1,1,0,1,1,0,1,1,1,1,0,1,68850.6
1,1,0,1,1,0,0,1,1,0,1,1,1,0,0,1,80848.4
1,0,0,1,1,0,0,1,1,0,1,1,1,1,1,1,83981.6
1,0,0,0,1,1,1,1,0,0,1,1,1,1,0,1,72567.0
0,1,0,0,0,0,0,1,1,0,0,1,0,0,1,1,62292.6
1,0,0,0,1,1,0,0,0,0,1,1,1,0,1,0,61656.4
1,1,1,0,1,0,0,0,0,1,1,1,0,1,1,0,73255.6
1,0,0,0,1,0,0,1,0,0,1,1,1,0,1,1,66821.4
1,1,0,0,1,1,0,0,1,1,0,0,0,0,0,1,66137.0
1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,57482.6
1,0,0,0,0,1,1,1,0,0,0,1,1,0,0,0,65564.6
1,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,64675.2
1,1,0,0,0,0,0,1,1,0,1,1,1,1,1,1,66980.4
1,1,1,0,1,1,0,0,0,1,1,0,0,1,1,0,71354.4
1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,62709.2
1,0,1,0,1,0,0,1,0,0,1,0,1,1,0,1,71426.0
1,1,1,1,1,1,0,0,1,0,1,1,1,1,0,1,87492.6
1,1,1,0,1,0,1,0,1,0,0,0,0,1,0,0,70586.6
1,1,0,1,0,1,0,0,0,0,1,1,1,1,0,1,78288.8
1,1,0,0,0,1,1,0,0,1,0,0,0,0,0,1,70560.6
1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,77911.4
1,0,0,0,0,0,0,1,1,1,0,1,1,1,1,1,71228.6
1,1,0,0,1,1,0,0,1,1,1,0,1,0,0,0,68292.2
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,57058.6
