fsync,synchronousCommit,fullPageWrites,trackActivities,trackCounts,sharedBuffers,tempBuffers,workMem,Performance
1,1,0,0,1,128,32,4096,133873.0
0,1,1,1,0,256,8,1024,46824.8
1,1,1,0,0,64,32,256,136657.4
0,0,0,0,1,64,32,1024,46172.2
0,1,1,0,0,128,8,256,46214.6
0,0,0,0,1,256,2,1024,46354.2
0,1,0,0,0,256,8,1024,46097.6
0,0,0,1,0,256,8,1024,46393.4
0,1,0,1,0,128,32,256,47359.0
1,0,1,0,1,64,32,1024,138701.4
0,0,0,1,1,64,8,256,46340.2
1,1,0,1,1,128,32,4096,131405.0
0,1,0,0,0,128,8,1024,45980.8
0,1,0,1,0,256,8,256,46658.8
1,1,1,1,0,64,32,256,128814.8
1,0,0,1,0,128,8,1024,136143.6
0,1,1,1,1,128,8,256,46554.0
1,1,0,0,0,256,32,256,130682.8
1,1,0,0,0,64,2,1024,132621.4
1,1,0,1,0,64,32,4096,131301.0
0,0,0,1,0,256,2,256,46452.6
0,0,0,0,1,64,2,256,46337.0
0,1,0,0,0,256,8,256,46335.6
1,1,0,1,0,64,2,4096,131709.2
0,0,0,1,0,128,8,1024,46551.6
0,0,1,0,1,256,8,4096,46508.6
0,0,0,1,1,64,2,256,46471.2
0,0,1,0,0,128,2,1024,46254.6
1,1,0,1,1,128,8,256,131563.8
1,0,1,1,1,128,8,1024,139292.8
0,0,0,0,0,128,8,1024,46208.0
1,1,0,1,1,128,8,4096,126456.8
0,0,0,1,0,128,8,4096,46352.2
0,0,0,1,1,256,2,256,46438.2
1,1,1,0,1,256,32,256,129297.0
0,0,0,0,1,256,8,256,46100.4
0,1,0,0,0,128,2,4096,46368.8
1,0,1,1,0,256,32,4096,138895.2
0,0,0,0,0,128,2,1024,46169.2
0,0,0,0,1,64,2,256,46337.0
0,0,0,0,0,256,8,1024,46252.0
0,1,1,0,0,128,8,4096,46157.6
0,0,0,1,1,128,2,1024,46407.8
1,1,0,1,0,128,8,4096,132048.8
0,0,0,1,0,256,8,4096,46597.8
0,0,0,0,0,128,2,256,46236.8
0,0,0,1,1,128,32,256,46408.2
0,1,0,0,1,256,2,256,46288.6
0,0,0,0,1,256,8,4096,46282.0
0,0,1,0,0,128,2,1024,46254.6
0,1,0,0,1,256,8,4096,46133.4
0,1,1,1,1,128,2,4096,47014.0
1,0,1,1,0,128,32,256,140915.4
0,0,0,0,1,256,2,1024,46354.2
1,0,0,0,0,256,8,1024,131793.4
0,0,0,0,0,64,32,256,46471.2
0,0,1,0,0,256,8,1024,46146.2
1,1,1,0,0,256,8,256,131089.2
1,0,1,0,0,128,2,4096,138294.4
1,0,0,0,1,256,2,1024,130366.8
1,1,0,1,0,64,32,256,133072.4
0,1,0,0,0,256,32,256,46178.0
1,1,1,0,1,64,32,1024,130145.2
0,0,0,0,0,256,32,256,46275.0
1,1,1,0,1,256,2,1024,128397.6
1,0,0,0,1,256,8,4096,131261.2
1,0,0,0,1,256,32,1024,139426.0
0,0,0,0,1,64,2,1024,46267.8
0,0,1,1,0,256,8,1024,46903.4
1,0,0,0,1,256,8,1024,135761.2
0,1,1,0,0,256,8,256,46092.0
0,0,0,0,0,64,32,256,46471.2
0,0,0,0,1,64,32,1024,46172.2
1,0,0,0,1,64,2,4096,132637.0
1,1,0,1,1,256,32,4096,126458.8
1,0,1,1,1,64,8,4096,136839.6
0,0,0,1,0,256,8,4096,46597.8
1,0,0,0,0,256,32,256,132823.0
1,0,1,0,0,128,8,1024,130578.0
1,1,1,1,1,128,2,1024,132657.0
0,1,1,0,1,256,8,1024,46398.4
0,1,1,1,0,256,8,256,46539.6
0,0,0,0,1,256,32,4096,46070.8
1,0,1,1,0,256,8,4096,135527.8
1,1,0,0,1,256,2,4096,132262.2
1,0,0,1,1,64,8,4096,134738.4
0,0,0,0,0,256,8,256,46305.6
1,0,1,0,1,256,32,1024,134690.4
1,0,0,0,1,256,8,256,136333.8
0,1,1,0,0,256,2,1024,46191.4
1,1,1,1,0,256,8,256,124653.8
1,0,0,0,0,256,8,256,134915.4
0,1,1,1,0,256,32,1024,46477.8
0,1,1,0,1,256,8,256,47092.0
0,1,1,0,1,256,8,1024,46398.4
0,1,1,0,1,256,32,1024,46493.8
0,0,1,0,0,256,2,4096,46143.4
0,0,0,1,1,256,8,4096,46339.4
0,1,1,0,1,256,8,1024,46398.4
0,1,1,1,1,256,8,256,46778.4
