WindowSize,CompressionLevel,Performance
14,5,4.678
15,0,1.534
23,2,2.032
16,0,1.59
14,5,4.678
15,8,6.738
21,8,18.874
23,0,1.556
20,7,12.338
20,0,1.63
11,0,1.526
23,11,315.238
20,0,1.63
14,11,301.078
24,3,2.478
23,2,2.032
17,5,5.886
20,7,12.338
23,5,7.178
22,0,1.596
10,0,1.662
11,3,2.476
24,10,392.744
15,1,1.52
24,1,1.57
22,9,34.292
20,0,1.63
20,4,2.808
11,2,1.998
12,2,1.988
13,8,5.62
20,2,2.088
10,1,1.666
21,0,1.604
15,1,1.52
24,1,1.57
20,10,246.512
24,0,1.574
24,9,108.602
11,1,1.526
10,0,1.662
15,6,5.306
22,0,1.596
24,10,392.744
15,1,1.52
10,1,1.666
13,6,4.3
10,7,4.874
24,9,108.602
24,0,1.574
24,3,2.478
11,1,1.526
13,11,315.078
10,6,3.386
10,1,1.666
15,3,2.392
22,8,25.432
18,0,1.628
24,2,2.04
24,1,1.57
24,1,1.57
22,1,1.586
18,2,2.094
24,0,1.574
24,1,1.57
10,8,5.046
19,1,1.604
11,7,5.078
15,1,1.52
11,5,3.49
20,1,1.636
15,1,1.52
19,1,1.604
18,1,1.63
12,1,1.542
22,0,1.596
19,1,1.604
18,1,1.63
20,5,7.45
11,1,1.526
10,1,1.666
20,8,14.64
14,1,1.46
17,1,1.612
19,1,1.604
15,1,1.52
23,5,7.178
15,4,2.834
11,6,3.57
11,3,2.476
17,1,1.612
17,1,1.612
19,1,1.604
15,1,1.52
17,10,307.144
19,1,1.604
11,4,3.04
10,6,3.386
14,4,2.894
13,1,1.514
