topology.workers,component.bolt_num,topology.acker.executors,message.size,component.spout_num,topology.serialized.message.size.metrics,topology.max.spout.pending,storm.messaging.netty.min_wait_ms,topology.transfer.buffer.size,storm.messaging.netty.max_wait_ms,topology.level,topology.priority,Performance
4,1,4,10,1,1,1,10,512,10000,2,0,2.0
4,1,2,1000000,10,1,1,10,1024,10000,2,29,2.0
2,10,2,10,1,1,1000,1000,512,100,2,29,2.0
2,10,4,10,1,1,1000,10,512,10000,2,29,2.0
2,1,2,10,1,1,1000,10,512,100,5,0,0.302173507475
4,1,2,10,1,0,1000,1000,1024,10000,5,29,0.231713245718
4,1,4,10,1,1,1,10,1024,100,2,29,0.0149957172602
4,10,4,10,10,1,1,10,1024,10000,5,0,2.0
4,1,2,10,1,1,1000,10,512,100,2,29,0.47932778007
4,1,4,1000000,1,1,1000,10,512,100,2,29,2.0
2,1,2,10,10,1,1,1000,1024,100,2,0,2.0
2,1,4,10,1,1,1,10,1024,100,5,29,0.0150188672051
4,10,2,10,1,0,1000,1000,512,10000,2,0,0.604283012162
2,1,2,10,1,0,1000,10,1024,10000,5,0,2.0
2,10,4,10,1,0,1000,10,1024,10000,5,29,2.0
2,1,2,1000000,1,1,1000,10,512,100,2,29,0.0013495056125
4,10,4,10,1,0,1000,1000,1024,10000,5,29,0.217802852346
2,10,2,10,10,0,1,10,1024,100,2,0,0.148496002549
4,10,4,1000000,10,1,1,1000,1024,100,5,0,2.0
4,10,4,10,1,1,1,1000,1024,10000,2,29,0.014664809224
4,10,4,10,10,0,1,10,512,100,5,29,0.077277239655
4,1,2,10,10,0,1,1000,1024,10000,5,29,0.0876361591246
4,1,2,10,10,0,1,10,1024,100,2,29,0.144944528647
2,10,2,1000000,1,1,1000,1000,512,100,5,29,2.0
4,10,2,1000000,1,1,1000,10,1024,10000,5,29,2.0
2,1,4,1000000,1,1,1,10,1024,100,5,29,0.0
2,10,2,1000000,10,0,1000,10,1024,10000,2,29,2.0
2,10,2,10,1,1,1000,10,1024,100,2,0,0.777358809167
4,1,2,1000000,1,1,1000,10,512,10000,2,29,2.0
2,10,4,10,10,1,1,10,1024,10000,2,29,2.0
2,10,4,10,1,0,1000,10,512,10000,2,29,2.0
2,10,2,10,10,1,1000,10,512,100,2,0,0.746230303823
2,1,2,10,1,1,1,10,1024,100,2,0,0.0149058410035
