new_column3,new_column2,new_column,no_8x8dct,no_cabac,no_deblock,no_fast_pskip,no_mbtree,no_mixed_refs,no_weightb,Performance
4,1,2,1,1,0,0,1,0,0,22.78
1,3,3,1,0,1,0,0,0,0,159.34
4,3,1,1,0,0,0,1,0,1,46.684
4,2,2,0,0,0,1,1,0,1,38.548
4,2,1,1,1,0,1,1,1,1,31.648
4,3,1,1,0,0,0,1,0,0,46.572
2,2,1,0,0,0,0,1,0,1,71.456
2,2,1,1,0,0,1,0,0,0,65.846
2,2,1,1,0,0,1,0,0,0,65.846
2,3,1,1,0,1,1,1,0,0,99.848
1,3,1,1,0,0,1,1,0,1,185.554
4,1,2,1,1,1,0,0,0,0,22.626
4,3,2,1,0,1,1,0,1,0,41.782
2,2,2,1,0,0,0,0,0,0,62.318
3,2,2,0,0,0,0,1,0,1,50.06
1,2,1,0,1,0,1,0,0,1,128.854
3,2,3,1,0,1,0,1,0,0,46.98
2,3,1,1,0,0,1,1,0,1,99.532
4,2,1,0,1,0,0,0,1,1,29.65
1,3,1,1,1,0,1,1,0,0,183.172
3,3,2,1,0,1,0,0,0,1,58.692
1,2,2,1,0,0,1,0,0,1,124.328
4,3,2,0,0,0,0,0,1,0,39.264
3,2,3,1,0,1,0,1,1,0,40.398
4,1,3,1,0,0,1,0,1,0,23.864
4,3,2,0,1,1,0,1,0,0,49.028
3,1,1,1,0,1,0,0,0,1,29.23
4,2,3,0,0,1,0,1,1,1,31.996
4,3,2,1,0,1,0,1,1,0,39.554
2,1,2,1,1,1,1,1,1,1,46.128
3,2,3,0,1,1,0,0,0,0,46.332
4,1,1,1,0,0,1,0,0,0,23.034
3,1,3,0,0,1,1,1,0,1,34.214
4,3,2,0,1,1,0,0,0,1,45.406
2,1,2,0,0,1,1,1,0,1,50.35
4,2,1,1,1,1,0,1,1,1,30.114
3,1,3,0,0,1,0,1,0,1,33.9
1,3,1,0,0,0,0,1,1,1,153.452
4,3,1,0,1,1,0,0,1,0,38.288
2,3,2,1,0,1,0,0,0,1,84.226
2,1,3,0,0,1,0,0,1,1,46.356
1,2,2,1,0,1,1,1,1,1,119.808
3,3,2,1,0,1,1,0,1,1,57.08
3,2,3,0,0,1,0,1,1,1,42.882
3,1,3,0,1,1,0,1,1,1,33.33
4,2,3,0,0,1,0,0,0,0,34.992
4,3,1,0,1,0,1,1,0,1,52.726
4,3,1,0,1,1,0,0,1,1,38.272
1,2,3,0,1,1,0,0,1,0,109.628
3,3,1,0,1,1,0,0,0,1,60.3
3,1,3,0,0,1,0,0,0,0,32.364
2,3,3,0,1,0,0,1,0,1,95.318
4,2,3,0,1,1,0,0,0,1,34.234
1,1,3,0,0,0,1,0,1,1,87.648
3,1,1,1,1,0,1,0,0,1,29.104
4,2,3,1,1,1,0,0,0,1,32.95
4,1,3,1,1,1,0,0,1,0,23.35
1,1,3,1,0,1,1,0,0,0,82.696
3,3,3,0,0,0,1,1,1,1,61.62
1,3,2,0,1,0,1,1,0,1,193.196
4,1,3,1,1,1,0,0,0,0,23.244
4,1,2,1,1,1,0,0,1,0,22.854
4,2,1,0,1,0,1,1,0,0,37.95
3,2,3,1,1,1,1,0,0,1,47.424
3,1,1,1,1,0,1,0,0,1,29.104
3,1,3,0,0,1,1,0,0,0,32.896
2,1,3,0,1,0,1,0,1,0,46.208
3,1,1,1,0,1,0,0,0,1,29.23
3,2,3,1,1,1,0,1,0,1,46.426
4,2,1,0,1,1,0,0,0,1,33.15
3,1,1,1,0,0,0,0,0,1,29.428
3,2,1,1,1,1,1,0,0,0,46.656
2,1,2,0,1,1,0,1,0,1,49.396
4,1,1,1,1,0,0,1,1,0,22.996
4,3,1,0,0,1,1,0,0,1,50.03
3,1,3,0,1,1,0,0,0,1,31.704
1,1,1,1,1,1,0,0,1,1,78.394
4,2,1,1,1,1,0,0,1,0,28.338
2,1,1,1,0,1,1,0,1,0,43.44
1,1,3,1,1,1,0,0,0,0,79.97
4,3,3,1,0,1,1,0,0,1,48.272
1,1,3,0,1,1,0,0,0,1,85.054
4,1,1,1,0,1,0,0,0,0,22.142
4,2,1,1,0,1,1,0,1,0,30.506
3,2,1,0,0,0,0,0,0,0,45.426
4,2,1,1,0,1,0,0,1,1,28.39
3,1,1,1,1,0,0,1,0,1,30.918
3,1,1,0,1,1,1,0,0,1,31.062
4,1,2,1,1,0,0,0,1,0,22.394
2,1,1,1,0,1,1,1,0,0,46.852
4,1,1,1,1,0,0,0,0,0,21.636
1,1,2,0,1,0,0,0,1,1,84.412
4,3,1,0,1,1,1,0,1,1,42.38
3,1,2,1,1,0,0,1,0,0,30.79
3,2,1,1,0,1,1,0,1,1,41.47
4,2,1,1,0,0,1,0,1,0,30.594
2,2,1,1,0,1,0,1,0,0,67.692
4,3,3,1,0,0,1,1,0,0,50.236
4,2,3,1,0,1,0,0,1,0,29.81
3,2,1,1,0,1,1,0,0,0,47.484
