new_column,filterOff,HeaderCompressionOff,mtOff,tmOff,Files,BlockSize,x,Performance
4,0,1,1,0,30,128,10,414347.2
3,1,0,0,0,20,1,4,14360.6
4,1,0,1,0,100,4096,6,49380.2
3,0,1,1,0,20,64,6,10944.4
5,0,1,1,0,0,1,0,9259.0
1,0,0,0,0,80,16,10,94980.2
4,0,1,1,0,10,1024,0,35663.0
1,1,1,1,0,10,2,2,17675.8
5,0,1,1,1,80,2,2,9224.8
4,1,0,1,0,80,256,6,49275.4
2,1,0,0,1,80,2,2,7489.0
2,0,0,1,0,50,128,0,17702.6
1,1,0,1,0,50,1024,0,17828.8
5,0,0,1,0,20,4096,4,9183.0
4,1,1,0,0,90,64,10,112682.0
1,0,1,0,1,20,2,10,80226.6
2,0,1,1,1,20,1,8,125373.4
2,1,1,1,1,80,1,0,17592.8
4,1,1,1,0,10,2,6,48513.2
4,0,0,0,0,50,4,10,158823.6
2,0,0,1,0,30,16,6,93533.0
4,0,0,0,1,0,512,0,11933.4
1,1,0,1,1,50,1024,2,17829.4
4,0,1,0,0,60,2048,10,113323.8
1,0,0,1,0,100,1,0,17635.8
2,0,0,1,1,20,8,4,12443.4
1,1,0,0,0,80,128,0,17720.8
4,1,0,1,0,80,2,2,35745.2
1,1,0,0,0,50,1024,0,17730.6
2,0,1,1,1,20,1024,4,12066.4
1,0,0,0,0,50,512,6,89262.8
4,1,1,1,0,100,1,6,48797.0
2,0,1,1,1,20,64,4,12076.8
2,1,0,1,1,20,8,4,12245.2
1,1,0,0,0,0,4096,4,18453.6
1,1,1,1,0,20,256,10,103729.4
4,0,0,0,0,60,1024,0,8932.0
5,0,0,1,0,0,2,4,9206.0
1,1,0,1,1,20,128,2,17762.2
4,1,1,1,0,0,1024,4,39508.4
2,0,1,0,0,0,2,8,85349.2
4,0,1,1,0,60,8,0,35708.6
1,1,0,1,0,20,128,4,12016.0
1,0,1,1,1,0,1024,4,18452.4
2,1,1,0,1,0,4,6,82113.4
1,0,0,1,1,0,32,4,18444.6
1,0,1,0,1,60,4,4,12446.0
4,1,0,0,1,20,32,2,9134.6
2,1,1,1,0,30,16,4,11993.0
1,1,0,1,0,50,16,6,93831.8
2,1,1,0,1,20,512,0,5029.8
4,1,0,0,1,20,1024,2,9141.4
3,0,0,1,1,60,4,2,12897.0
4,1,1,1,0,20,128,0,35888.4
5,1,0,0,0,40,1,2,9139.8
4,0,1,0,0,20,1,8,81660.4
2,0,1,0,0,30,256,4,4564.4
2,1,1,1,1,0,512,0,17788.4
3,0,1,1,0,10,128,10,50544.8
4,0,0,1,0,30,8,4,43392.2
1,1,0,0,1,40,1,2,17653.4
5,1,0,0,0,100,4,0,9207.0
2,1,0,1,0,20,2048,6,91650.2
5,0,0,0,1,40,128,2,9187.0
2,0,0,1,1,20,512,10,103787.8
4,0,0,1,0,30,256,10,416435.0
5,0,1,1,1,40,256,4,9152.2
4,0,0,1,1,20,1024,4,43236.4
4,0,0,0,0,0,1,2,11898.4
4,0,0,0,1,40,4096,2,8970.6
3,0,1,1,1,40,4,8,37534.4
2,0,1,1,1,50,256,4,11883.6
2,0,0,1,0,80,128,2,17695.2
4,1,1,0,0,0,1,4,22103.4
2,0,0,0,0,20,4096,4,4976.8
4,0,0,0,0,90,256,10,111551.2
1,1,0,1,1,10,256,6,93715.2
1,0,0,1,1,60,4096,2,17750.4
5,0,1,0,1,50,16,10,298529.0
5,1,1,0,1,30,64,2,9110.8
3,0,1,1,1,50,2,4,13028.8
5,1,0,0,0,50,4096,10,301679.4
2,1,1,0,0,40,4,4,11875.2
2,0,0,1,1,80,16,2,17730.6
2,1,1,0,0,70,1,4,14683.6
5,1,0,0,1,50,16,0,9229.4
5,0,0,1,1,30,64,2,9189.6
3,1,1,1,0,80,1,2,14197.0
4,0,0,0,1,0,4096,10,274644.6
4,0,0,1,0,100,64,8,125104.8
5,0,1,0,0,40,32,4,9173.8
2,0,0,0,0,70,16,8,95309.2
3,0,0,1,1,30,64,0,12134.2
2,0,0,1,1,80,64,2,17684.4
5,1,1,0,0,0,2,8,121134.6
1,0,0,1,0,50,64,2,17751.6
5,0,0,0,0,90,2,0,9108.6
3,1,1,0,0,40,256,10,48892.4
1,1,1,0,1,0,4096,10,85325.8
2,0,0,0,0,70,64,6,89578.2
