Run,BestFitness
1,4753.2
2,4332.4
3,4585.0
4,4430.4
5,4353.4
6,4335.8
7,4704.6
8,4680.4
9,8914.6
10,4687.0
11,4612.6
12,4667.2
13,4306.6
14,4337.0
15,4533.4
16,4723.4
17,4539.0
18,4838.0
19,4683.4
20,4691.0
21,4719.8
22,4691.2
23,4507.4
24,5117.2
25,4549.2
26,4739.4
27,4403.2
28,4382.8
29,4541.0
30,4420.2
31,5027.0
32,4369.4
33,4363.8
34,4291.8
35,4843.6
36,5048.8
37,4688.2
38,4575.2
39,4868.4
40,4442.6
41,4758.2
42,4693.6
43,4307.4
44,4419.0
45,4400.2
46,4964.6
47,4835.8
48,4835.8
49,4746.8
50,8968.6
51,4345.0
52,4392.6
53,4666.8
54,4708.0
55,4667.6
56,4421.2
57,4412.8
58,4660.4
59,4713.2
60,5718.8
61,4408.6
62,4870.4
63,4335.8
64,4507.4
65,4334.2
66,4606.2
67,4607.8
68,4304.0
69,4989.2
70,4385.6
71,4584.6
72,4675.4
73,4302.6
74,5106.0
75,4370.6
76,4524.0
77,4597.8
78,4683.6
79,4526.8
80,4711.8
81,4662.8
82,7449.6
83,4680.4
84,4396.6
85,4385.8
86,4750.8
87,4756.8
88,4403.8
89,4848.2
90,4540.4
91,4661.0
92,4575.6
93,4556.2
94,4844.0
95,4332.2
96,4655.2
97,5739.4
98,7484.2
99,4586.4
100,4354.8
