Run,BestFitness
1,32.0286
2,31.03
3,32.0974
4,31.2602
5,31.6514
6,31.4174
7,31.0946
8,31.6432
9,31.2232
10,31.6628
11,31.4334
12,31.4648
13,31.7572
14,32.099
15,31.7042
16,31.283
17,31.03
18,31.03
19,32.0282
20,31.3498
21,31.7822
22,32.4742
23,31.0946
24,31.283
25,31.1622
26,31.2602
27,30.8186
28,32.0234
29,31.3186
30,31.8482
31,31.1458
32,31.5282
33,31.03
34,31.862
35,31.1622
36,31.4676
37,30.8186
38,31.6254
39,31.5282
40,31.4648
41,31.6628
42,31.4174
43,162.9336
44,31.926
45,31.03
46,31.0888
47,31.2602
48,31.0946
49,31.4334
50,32.099
51,31.5162
52,31.5162
53,30.7448
54,31.2782
55,31.1458
56,31.2326
57,30.7448
58,32.145
59,30.7448
60,31.862
61,31.4648
62,31.3186
63,31.6962
64,31.6068
65,32.0884
66,31.8866
67,31.2796
68,31.03
69,32.209
70,31.4174
71,31.5162
72,31.2326
73,32.3962
74,31.1622
75,31.4314
76,31.9676
77,31.2782
78,31.4648
79,31.7822
80,31.8124
81,31.7862
82,31.0946
83,31.3372
84,31.4334
85,31.1244
86,31.3186
87,31.6822
88,31.9878
89,32.3634
90,31.1982
91,31.8124
92,31.283
93,31.6374
94,31.3186
95,31.376
96,31.03
97,32.1888
98,30.8186
99,31.0946
100,31.2326
