Run,BestFitness
1,59633.6
2,60725.0
3,56412.8
4,60245.4
5,58281.8
6,54182.0
7,61811.8
8,54845.4
9,60064.8
10,57495.0
11,55568.2
12,57126.0
13,61859.4
14,61352.6
15,57011.4
16,57673.4
17,56420.0
18,61705.4
19,57009.8
20,57845.2
21,56714.8
22,58097.6
23,61570.6
24,59637.6
25,58048.8
26,60725.0
27,55505.4
28,55226.8
29,59463.6
30,55246.6
31,56861.6
32,58252.4
33,58065.2
34,57615.4
35,59175.0
36,55162.2
37,57760.2
38,58742.6
39,58051.4
40,56959.2
41,57637.4
42,56916.0
43,55162.2
44,58949.6
45,56619.2
46,58491.8
47,58613.6
48,57224.0
49,58102.6
50,59651.4
51,56483.2
52,61194.6
53,61997.6
54,58722.2
55,58752.2
56,60725.0
57,56515.8
58,62774.0
59,60293.6
60,53879.2
61,58142.2
62,60524.8
63,56989.0
64,59308.6
65,55707.4
66,59032.2
67,57198.0
68,60124.4
69,55505.4
70,57124.4
71,56969.0
72,57936.0
73,64625.4
74,60319.6
75,60858.4
76,57446.2
77,58906.0
78,60020.2
79,55568.2
80,56429.0
81,59446.4
82,61615.8
83,58167.6
84,55372.8
85,59594.8
86,56865.2
87,59811.2
88,59776.4
89,59197.2
90,57235.4
91,58272.4
92,59395.0
93,61508.2
94,56395.8
95,60087.8
96,60084.8
97,54945.0
98,58410.2
99,59813.0
100,60271.4
