Run,BestFitness
1,46104.2
2,45922.8
3,46035.0
4,46083.6
5,46064.6
6,46092.0
7,45922.8
8,45980.8
9,45922.8
10,45939.8
11,45922.8
12,45939.8
13,46039.0
14,46083.6
15,45980.8
16,46094.8
17,46064.6
18,46133.4
19,45980.8
20,46064.6
21,46078.8
22,46097.6
23,46035.0
24,46035.0
25,45980.8
26,45939.8
27,46022.8
28,46143.2
29,45980.8
30,46042.4
31,46100.4
32,45939.8
33,46039.0
34,46083.6
35,46097.6
36,46070.8
37,46022.8
38,46039.0
39,45939.8
40,46039.0
41,46047.4
42,46039.0
43,45939.8
44,45939.8
45,46078.8
46,45922.8
47,46035.0
48,45939.8
49,46054.6
50,46039.0
51,46022.8
52,46047.4
53,45922.8
54,45922.8
55,46022.8
56,46083.6
57,46099.4
58,46073.6
59,46022.8
60,46070.8
61,45939.8
62,45980.8
63,46095.0
64,46035.0
65,46054.6
66,46097.4
67,46100.4
68,46073.6
69,46047.4
70,45939.8
71,46039.0
72,46047.4
73,46042.4
74,45922.8
75,46022.8
76,46070.8
77,45939.8
78,46104.2
79,46095.0
80,46064.6
81,46083.6
82,46035.0
83,45980.8
84,46054.6
85,46035.0
86,46022.8
87,46121.6
88,46102.0
89,45939.8
90,46022.8
91,46022.8
92,46070.8
93,46111.6
94,46047.4
95,46070.8
96,46054.6
97,46047.4
98,45922.8
99,46108.2
100,46035.0
