Run,BestFitness
1,1.472
2,1.526
3,1.514
4,1.52
5,1.514
6,1.514
7,1.46
8,1.46
9,1.46
10,1.46
11,1.472
12,1.46
13,1.46
14,1.472
15,1.514
16,1.514
17,1.46
18,1.46
19,1.46
20,1.514
21,1.472
22,1.514
23,1.514
24,1.46
25,1.46
26,1.472
27,1.52
28,1.46
29,1.472
30,1.46
31,1.46
32,1.46
33,1.526
34,1.46
35,1.46
36,1.52
37,1.46
38,1.514
39,1.46
40,1.472
41,1.472
42,1.46
43,1.46
44,1.46
45,1.46
46,1.52
47,1.46
48,1.46
49,1.46
50,1.52
51,1.46
52,1.542
53,1.46
54,1.46
55,1.46
56,1.514
57,1.46
58,1.514
59,1.46
60,1.46
61,1.472
62,1.514
63,1.46
64,1.514
65,1.46
66,1.46
67,1.52
68,1.514
69,1.472
70,1.472
71,1.46
72,1.514
73,1.46
74,1.46
75,1.472
76,1.46
77,1.472
78,1.514
79,1.514
80,1.46
81,1.46
82,1.46
83,1.46
84,1.46
85,1.46
86,1.514
87,1.472
88,1.514
89,1.46
90,1.472
91,1.514
92,1.46
93,1.514
94,1.52
95,1.514
96,1.514
97,1.46
98,1.514
99,1.472
100,1.46
