Run,BestFitness
1,23.244
2,21.678
3,22.984
4,21.97
5,22.452
6,24.316
7,22.248
8,21.758
9,21.942
10,22.842
11,21.678
12,21.758
13,22.394
14,22.878
15,22.842
16,21.906
17,21.906
18,23.194
19,23.65
20,23.274
21,22.59
22,22.172
23,21.636
24,22.018
25,23.282
26,22.842
27,22.522
28,22.168
29,21.714
30,22.29
31,23.194
32,22.842
33,23.184
34,23.114
35,22.452
36,21.694
37,22.312
38,22.486
39,23.056
40,22.59
41,22.452
42,22.432
43,22.626
44,23.036
45,22.34
46,21.65
47,21.694
48,22.984
49,22.394
50,22.816
51,22.248
52,22.452
53,22.432
54,22.312
55,21.694
56,22.92
57,22.432
58,22.934
59,23.02
60,23.106
61,21.586
62,22.394
63,22.312
64,21.556
65,21.65
66,22.92
67,22.172
68,22.452
69,22.878
70,23.002
71,21.678
72,23.106
73,22.29
74,22.746
75,22.928
76,22.854
77,21.97
78,21.97
79,22.312
80,23.552
81,21.714
82,22.168
83,23.206
84,22.476
85,23.01
86,21.694
87,21.694
88,23.338
89,21.694
90,23.192
91,21.694
92,23.322
93,22.452
94,21.636
95,23.358
96,22.168
97,24.244
98,22.452
99,21.586
100,23.278
