new_column,filterOff,HeaderCompressionOff,mtOff,tmOff,Files,BlockSize,x,Performance
4,0,1,0,0,20,64,0,9113.2
4,0,1,0,0,0,64,6,27534.6
5,1,0,1,1,90,4096,0,9184.8
5,0,1,1,0,60,512,2,9148.2
1,0,0,0,1,90,4096,4,11818.0
5,1,0,0,1,10,4,0,9118.6
2,1,0,1,0,60,512,2,17637.6
5,1,0,1,0,0,2,2,9235.6
5,1,0,0,1,90,4096,4,9118.6
5,1,0,0,1,90,4096,4,9118.6
5,0,0,0,1,90,4096,4,9145.8
1,0,1,1,0,60,32,2,17689.4
5,1,1,0,0,20,64,0,9195.4
4,0,0,0,1,90,4096,4,12798.0
4,0,1,0,0,20,64,0,9113.2
5,1,0,1,1,90,4096,0,9184.8
5,1,0,0,1,90,4096,6,47620.6
5,1,0,1,1,90,4096,0,9184.8
5,1,0,0,1,10,4,0,9118.6
4,0,1,0,0,20,64,0,9113.2
4,0,1,0,0,50,4,0,9367.0
5,0,0,0,1,20,64,0,9178.4
5,1,0,1,1,90,4096,0,9184.8
5,0,0,0,1,90,4096,4,9145.8
4,0,1,0,1,90,4096,4,12796.4
5,0,0,0,0,20,64,0,9143.6
4,0,0,0,1,10,4,0,9541.2
5,1,0,0,1,90,4096,4,9118.6
5,1,0,0,1,90,4096,4,9118.6
5,0,0,0,1,10,4,0,9219.0
5,0,0,0,1,90,4096,4,9145.8
5,1,0,0,1,20,64,0,9139.2
5,1,0,0,1,20,64,0,9139.2
5,1,0,1,0,90,4096,4,9185.0
5,1,1,0,1,90,4096,4,9202.4
4,1,0,0,0,90,4096,4,12803.2
5,0,0,0,1,90,4096,4,9145.8
5,0,0,0,1,20,64,0,9178.4
5,0,0,1,1,20,4096,4,9177.4
5,1,0,0,0,90,64,0,9302.0
5,0,0,0,1,90,128,0,9143.2
5,1,0,0,1,20,64,4,9151.0
5,0,0,0,1,20,64,0,9178.4
5,1,0,0,1,90,4096,4,9118.6
5,1,0,0,1,20,4096,4,9156.0
5,0,0,1,1,20,64,0,9207.4
5,0,0,0,1,90,4096,4,9145.8
5,0,0,0,1,20,64,0,9178.4
5,0,0,0,1,90,4096,4,9145.8
5,1,0,1,1,20,4096,4,9184.2
5,0,1,0,1,90,4096,4,9133.6
5,1,0,0,1,60,128,0,9156.0
5,1,0,0,1,90,4096,4,9118.6
5,0,0,0,1,70,4096,4,9167.6
2,0,0,0,1,90,128,4,4335.8
5,0,0,0,1,90,128,0,9143.2
5,1,0,0,1,90,4096,4,9118.6
5,0,0,0,1,90,1,4,9151.6
2,0,0,0,1,40,64,4,4601.6
5,1,0,0,1,90,4096,0,9170.2
2,0,0,0,1,90,4096,4,4323.4
5,1,0,0,1,90,128,4,9159.6
2,0,0,0,1,90,4096,4,4323.4
2,1,0,0,1,40,64,4,4610.2
5,0,0,0,1,40,64,4,9141.2
2,1,0,0,1,20,4096,4,4983.2
5,0,0,0,1,90,128,4,9206.8
5,1,1,0,1,90,128,0,9223.2
5,1,0,0,1,100,4096,4,9155.6
5,1,0,0,1,90,4096,8,121555.8
2,1,0,0,1,40,64,4,4610.2
2,1,0,0,1,20,4096,4,4983.2
5,1,0,1,1,100,4096,4,9171.4
5,1,1,1,1,90,128,4,9185.8
2,0,0,0,1,90,4096,4,4323.4
5,1,0,0,1,100,4096,4,9155.6
2,0,0,0,1,90,4096,4,4323.4
2,0,0,0,1,90,32,4,4408.6
2,0,0,0,1,90,128,4,4335.8
5,1,0,0,1,90,4096,4,9118.6
2,1,0,0,1,90,4096,4,4338.2
5,0,1,0,1,90,64,4,9125.6
2,0,0,0,1,90,4096,4,4323.4
2,1,0,0,1,20,4096,4,4983.2
2,0,0,0,1,40,256,4,4598.2
2,1,0,0,1,90,128,4,4315.4
2,0,0,0,1,90,4096,4,4323.4
2,0,0,0,1,90,4096,4,4323.4
5,0,0,0,1,40,64,4,9141.2
2,1,0,0,1,100,4096,4,4391.2
2,0,0,0,1,90,4096,4,4323.4
2,1,0,0,1,90,2,4,12824.6
2,0,0,0,1,90,4096,4,4323.4
2,0,0,0,1,40,256,2,4871.8
2,0,0,0,1,100,64,10,101570.2
2,0,0,0,1,90,4096,4,4323.4
2,1,0,0,1,40,256,4,4601.6
2,0,0,0,1,20,4096,4,4979.6
2,1,0,0,1,20,4096,4,4983.2
2,0,0,0,1,90,4096,4,4323.4
