new_column,filterOff,HeaderCompressionOff,mtOff,tmOff,Files,BlockSize,x,Performance
2,0,0,0,1,100,4096,8,101270.8
5,1,0,0,1,100,1024,4,9164.0
4,0,1,1,1,20,8,6,48877.8
1,0,0,1,0,0,16,2,17991.6
1,1,0,1,0,40,8,10,109602.6
3,1,1,0,1,60,64,10,48643.4
3,1,0,0,0,20,64,0,12128.0
4,0,1,0,0,20,2048,0,9109.6
1,1,1,0,1,30,512,4,11904.4
3,1,0,1,0,60,32,10,48278.4
4,0,1,0,1,30,2048,8,41052.0
1,1,0,0,1,100,8,0,17711.8
3,1,1,0,0,80,4,10,46593.4
5,1,1,0,1,20,64,2,9202.2
2,1,1,0,1,100,1024,6,88061.2
3,1,0,1,0,70,256,8,38026.8
1,1,1,0,1,20,64,8,101500.2
3,0,0,0,0,20,128,0,12447.2
5,1,0,1,1,80,32,10,300902.4
2,1,0,1,1,90,64,4,11847.6
4,1,1,1,1,70,8,10,416355.6
4,0,0,0,0,70,512,0,8926.0
1,0,1,1,0,40,8,4,12190.8
4,1,0,0,1,30,4,8,51656.4
5,1,1,1,1,100,32,6,47542.2
3,0,1,1,0,60,64,10,48483.6
3,1,0,1,1,30,2,4,13157.6
2,0,1,1,1,0,512,2,17773.0
5,1,0,1,1,50,512,6,47611.2
4,1,1,0,1,30,32,0,9111.8
4,0,1,0,1,40,4096,0,8954.0
2,1,0,0,0,50,32,2,4878.8
2,1,1,0,1,30,2048,4,4560.2
5,0,0,0,0,70,8,4,9101.4
3,1,1,1,0,0,128,10,48125.6
1,0,0,0,0,90,256,2,17668.0
1,0,1,0,0,20,64,8,101172.4
1,0,0,0,1,80,64,0,17738.8
2,1,1,0,1,100,32,2,4663.2
5,1,1,0,0,10,512,2,9162.6
5,1,0,1,1,50,64,10,301206.4
4,1,0,0,0,80,128,6,19119.0
2,0,1,1,1,10,256,10,105687.4
2,1,0,1,1,80,2,6,107298.8
2,1,0,0,1,20,8,10,86297.6
4,1,0,0,1,40,1024,2,8969.4
2,1,1,1,1,60,128,2,17630.8
1,0,1,0,0,90,2048,10,100310.2
3,1,0,0,0,80,512,8,38014.0
5,1,0,1,1,90,2048,0,9187.6
5,0,1,0,1,50,256,2,9240.2
1,0,1,1,0,20,128,10,103705.8
5,0,0,0,0,90,4,4,9163.6
5,1,1,1,1,10,1024,6,47596.8
2,1,1,1,1,80,4096,8,102604.2
3,1,0,0,1,0,64,0,16023.4
1,0,1,1,0,80,4096,10,102649.2
5,0,0,0,0,40,4096,6,47401.8
4,0,0,0,0,60,1024,8,39342.2
3,1,0,1,1,20,512,6,11020.8
3,0,1,0,1,50,512,6,10717.6
3,0,1,1,0,20,32,8,38392.0
2,1,0,1,1,60,1024,6,90657.2
1,1,0,1,1,10,8,2,17731.6
3,1,0,1,0,100,2,2,13213.2
3,1,1,1,0,80,16,10,47847.2
4,0,0,1,1,60,2,4,43418.2
2,0,0,0,1,20,4096,6,89879.6
1,0,1,1,1,40,8,10,109548.0
1,0,0,0,1,20,8,4,12222.6
3,1,0,1,0,80,64,10,48535.4
2,1,0,1,1,50,16,2,17664.6
2,0,0,1,0,10,4096,8,105839.8
1,0,0,1,0,100,1024,6,90609.0
1,1,0,1,1,0,2,4,18520.4
3,1,0,1,1,20,256,10,49294.4
1,1,0,0,0,70,128,6,88382.4
1,0,1,1,0,20,32,6,92515.4
4,1,1,0,1,60,256,2,8979.8
4,0,1,1,1,100,512,2,35724.0
5,1,0,0,0,90,512,10,302235.2
4,0,0,1,1,40,4096,10,415389.8
3,1,1,0,1,40,1024,2,12116.0
5,1,1,1,0,30,8,2,9110.2
5,0,1,1,1,40,2,6,47321.8
5,1,1,0,0,50,16,4,9155.2
1,1,0,1,1,50,1024,2,17829.4
3,0,0,0,0,60,1024,0,12001.6
1,0,1,0,1,50,2,10,80247.6
2,1,1,0,0,90,256,2,4674.4
4,0,1,1,0,60,8,10,414583.8
1,0,0,0,1,0,2048,8,85190.2
3,1,1,1,1,20,128,6,11024.4
1,0,1,0,1,50,16,8,96509.2
1,1,0,0,1,40,64,0,17702.6
1,0,1,1,1,100,4,4,12463.2
5,1,1,0,0,70,8,10,299346.0
5,0,1,0,0,60,256,8,121788.2
2,1,0,0,0,90,16,4,5034.8
4,0,1,1,1,0,1,2,35537.8
