new_column4,new_column3,new_column2,new_column,sendfile,basicAuth,maxClients,compressionLevel,Performance
0,1,2,2,0,1,512,1,337.4748
0,2,2,1,0,1,512,9,165.396
0,0,1,1,0,1,1024,9,337.4748
0,1,2,1,0,0,4096,0,32.8414
0,1,1,1,1,1,512,9,337.4748
0,2,2,2,0,1,1024,5,164.4504
1,1,2,0,1,0,1024,0,31.9844
1,2,1,0,0,1,512,0,337.4748
0,2,2,1,0,0,512,9,164.7606
0,0,2,2,1,1,4096,0,165.2914
0,1,2,1,0,0,512,9,337.4748
0,2,2,1,0,0,4096,0,337.4748
0,2,2,1,0,1,512,9,165.396
0,2,2,2,0,0,1024,5,165.2936
0,2,2,0,0,1,4096,9,167.1964
0,2,2,1,0,1,1024,5,167.081
1,1,2,1,1,1,512,9,337.4748
0,1,1,0,1,1,1024,0,32.7334
1,1,2,1,0,0,512,9,337.4748
1,0,2,0,1,1,1024,0,165.6808
0,1,1,0,0,0,1024,5,337.4748
0,2,2,2,1,1,1024,0,337.4748
0,1,2,0,0,1,4096,9,337.4748
0,2,1,0,1,1,1024,1,167.8084
0,1,1,0,0,0,4096,0,31.9984
0,2,2,1,1,0,1024,0,337.4748
0,2,2,1,0,0,512,9,164.7606
1,1,2,1,1,1,4096,0,33.3514
0,0,2,0,1,1,1024,0,165.3184
1,2,2,1,0,1,4096,9,165.2772
0,1,2,1,1,1,4096,0,31.9532
1,0,2,0,1,1,1024,0,165.6808
0,2,1,0,1,1,512,0,337.4748
0,1,2,1,1,1,1024,1,337.4748
1,2,2,1,0,1,512,9,165.501
0,2,2,1,0,0,4096,9,165.1006
0,1,2,0,1,1,1024,0,31.9392
0,0,2,0,0,0,4096,0,163.7512
0,1,2,1,1,1,2048,0,32.8896
1,0,2,0,1,0,1024,0,164.829
1,1,2,0,1,0,1024,0,31.9844
1,0,2,0,1,0,1024,0,164.829
0,1,2,0,1,1,1024,0,31.9392
1,0,2,0,0,0,4096,0,164.1756
0,0,2,0,0,0,1024,0,165.2612
0,1,2,0,1,1,1024,0,31.9392
0,1,2,1,1,1,2048,0,32.8896
0,1,2,1,1,1,4096,0,31.9532
0,1,2,0,0,0,4096,0,31.5282
0,0,2,2,1,1,1024,0,165.1184
0,1,2,0,0,1,1024,0,32.209
0,1,2,0,1,1,1024,0,31.9392
0,1,2,1,0,0,4096,0,32.8414
1,0,2,0,1,1,1024,0,165.6808
0,1,2,0,0,0,4096,0,31.5282
1,1,1,0,0,0,4096,0,32.509
0,1,2,0,0,0,4096,1,337.4748
0,1,2,0,1,1,1024,0,31.9392
0,1,2,1,1,1,4096,0,31.9532
0,1,2,0,0,0,4096,0,31.5282
0,1,2,1,1,1,4096,0,31.9532
0,1,2,0,1,1,4096,0,31.7572
0,2,2,0,1,1,1024,0,337.4748
0,1,2,0,0,0,4096,0,31.5282
0,1,2,1,1,0,4096,0,32.1888
0,1,2,0,0,0,4096,0,31.5282
0,1,2,0,0,0,4096,0,31.5282
0,1,2,0,1,1,1024,0,31.9392
0,1,2,0,0,1,4096,0,32.164
0,1,2,0,0,0,1024,0,31.2232
0,1,2,0,0,0,4096,0,31.5282
0,1,2,1,1,1,4096,0,31.9532
0,1,2,0,1,1,4096,0,31.7572
0,0,2,0,0,0,4096,0,163.7512
0,1,2,0,1,1,4096,0,31.7572
0,1,2,0,0,0,4096,0,31.5282
0,1,2,0,0,0,4096,0,31.5282
0,1,2,0,0,1,4096,0,32.164
0,1,2,0,0,0,4096,0,31.5282
0,1,2,0,0,0,4096,0,31.5282
0,1,2,0,0,0,4096,0,31.5282
0,1,2,0,0,0,4096,0,31.5282
0,1,2,0,0,0,4096,9,337.4748
0,0,2,0,0,0,4096,0,163.7512
0,2,2,0,0,0,4096,0,337.4748
0,1,2,0,0,0,4096,9,337.4748
0,1,2,0,0,0,4096,0,31.5282
0,1,2,0,0,0,4096,0,31.5282
0,1,1,0,0,0,4096,0,31.9984
0,1,2,0,0,0,4096,9,337.4748
0,1,2,0,0,0,4096,0,31.5282
0,1,1,0,0,0,4096,0,31.9984
0,1,2,0,0,0,4096,0,31.5282
0,1,2,0,0,0,2048,9,337.4748
0,1,2,0,0,0,4096,0,31.5282
0,1,2,0,0,0,4096,0,31.5282
0,0,2,0,0,0,4096,0,163.7512
0,1,2,0,0,0,4096,0,31.5282
0,1,2,0,0,0,4096,0,31.5282
0,1,2,0,0,0,4096,0,31.5282
