new_column4,new_column3,new_column2,new_column,sendfile,basicAuth,maxClients,compressionLevel,Performance
0,1,2,1,1,0,512,1,337.4748
0,2,1,2,1,0,512,5,337.4748
1,2,2,2,1,1,1024,9,166.8596
1,0,1,1,1,0,1024,0,337.4748
0,0,2,2,1,1,4096,0,165.2914
1,2,1,1,1,1,2048,1,337.4748
0,2,1,1,0,1,2048,0,337.4748
0,1,1,0,1,0,512,9,337.4748
1,2,2,0,0,1,4096,0,337.4748
0,1,1,0,1,0,2048,9,337.4748
0,2,2,0,0,0,1024,5,167.4724
1,2,2,1,1,0,4096,1,167.3408
0,2,1,1,0,1,2048,0,337.4748
1,0,1,0,1,1,1024,5,337.4748
0,1,2,0,1,1,512,0,31.4334
0,2,2,2,1,1,512,9,164.4566
0,2,2,1,1,1,4096,1,166.339
0,0,1,2,0,0,1024,5,337.4748
0,0,1,1,1,1,512,9,337.4748
1,2,2,1,1,1,2048,5,165.1948
0,0,1,0,1,0,512,0,167.0268
0,1,1,2,1,1,1024,5,337.4748
1,0,2,1,0,1,4096,5,337.4748
1,2,1,1,1,0,2048,5,337.4748
1,1,2,0,1,1,2048,1,337.4748
0,0,1,1,1,0,4096,1,337.4748
1,0,2,0,1,1,2048,1,337.4748
1,2,2,2,0,0,1024,0,337.4748
1,2,1,0,0,1,4096,0,337.4748
1,0,1,1,0,1,2048,0,337.4748
1,0,1,0,0,0,512,0,167.7768
0,1,1,0,1,0,1024,9,337.4748
0,2,2,1,0,0,2048,1,166.8784
0,2,1,0,1,1,512,9,166.7742
0,0,1,2,1,0,2048,9,337.4748
0,1,1,0,0,0,2048,0,32.2248
0,0,2,2,0,0,2048,0,165.8586
1,0,1,2,1,0,512,0,337.4748
0,0,2,0,1,0,4096,9,337.4748
1,0,1,0,1,0,2048,9,337.4748
1,2,1,0,1,0,1024,0,337.4748
0,0,1,2,1,1,2048,5,337.4748
1,1,1,2,1,1,4096,1,337.4748
0,0,1,0,0,1,1024,1,337.4748
1,0,2,1,0,0,4096,0,165.9296
1,2,2,1,1,0,2048,5,165.7582
1,2,1,0,0,0,2048,1,168.358
0,2,2,2,1,1,2048,5,165.6028
1,1,2,1,0,0,1024,9,337.4748
0,2,2,0,0,1,512,9,165.1774
1,2,1,1,1,1,512,5,337.4748
0,1,1,0,1,0,2048,9,337.4748
1,2,2,0,1,0,1024,9,166.98
0,0,2,2,0,1,2048,9,337.4748
1,0,2,0,1,0,1024,9,337.4748
1,0,2,2,1,1,1024,9,337.4748
0,2,1,1,0,1,512,1,337.4748
1,0,2,2,1,1,1024,1,337.4748
0,1,1,1,1,1,2048,5,337.4748
0,1,1,2,0,1,512,9,337.4748
1,2,1,2,0,1,2048,1,337.4748
1,1,2,1,0,0,2048,1,337.4748
0,0,1,2,0,1,2048,0,337.4748
0,2,1,0,1,0,2048,0,337.4748
1,0,1,2,1,0,4096,9,337.4748
1,1,1,0,1,0,512,9,337.4748
0,1,2,2,1,0,2048,1,337.4748
0,0,2,0,0,1,512,1,337.4748
0,2,2,1,1,0,512,5,164.8446
0,0,1,1,0,0,4096,0,337.4748
0,1,1,0,1,0,2048,5,337.4748
1,0,1,2,0,1,512,9,337.4748
0,0,1,0,1,0,1024,1,337.4748
0,2,1,0,0,1,1024,9,165.5612
0,1,2,0,0,0,1024,5,337.4748
1,2,1,2,1,0,512,0,337.4748
1,0,2,1,1,0,512,5,337.4748
1,0,2,0,0,1,512,0,165.605
1,1,1,0,0,1,1024,1,337.4748
0,2,2,0,0,1,1024,5,164.4738
0,2,1,1,0,0,2048,0,337.4748
0,0,1,0,1,1,4096,1,337.4748
1,0,2,0,1,0,1024,0,164.829
0,1,2,2,1,1,1024,0,32.2096
1,2,2,0,0,0,1024,9,166.7386
1,0,1,1,1,1,1024,1,337.4748
0,0,2,2,1,1,4096,9,337.4748
0,0,1,1,1,0,4096,5,337.4748
0,2,1,0,0,0,1024,9,166.4434
0,1,2,1,1,0,4096,0,32.1888
0,2,1,1,0,0,2048,5,337.4748
0,1,1,0,0,1,1024,0,32.5466
0,2,2,0,1,0,2048,5,163.467
1,0,2,1,1,1,1024,5,337.4748
0,2,2,1,1,1,512,5,165.8364
1,2,2,2,0,0,4096,0,337.4748
1,0,1,2,0,1,4096,0,337.4748
0,1,2,1,0,0,2048,0,31.6962
1,2,2,0,1,1,4096,5,165.6286
0,2,1,2,1,0,512,5,337.4748
