ee_instrument,simplifycfg,ipsccp,called_value_propagation,basicaa,instcombine,inline,mergereturn,jump_threading,pgo_memop_opt,tailcallelim,licm,sink,gvn,sccp,adce,Performance
1,1,0,0,1,0,0,1,1,0,1,1,1,0,1,1,67558.2
1,1,0,1,0,1,1,0,1,0,1,0,0,1,0,0,82967.2
0,0,0,1,1,0,1,1,0,0,1,1,0,1,0,1,83982.6
0,1,1,1,0,0,0,1,1,1,1,0,0,1,1,1,89789.8
1,1,0,0,1,0,1,0,1,0,1,0,0,1,0,1,69891.0
0,1,1,1,0,0,0,1,1,1,1,0,1,1,0,0,88342.0
1,0,0,0,1,0,0,0,1,1,1,0,1,0,1,1,71504.4
0,1,1,1,1,1,0,0,0,0,1,0,1,1,0,0,81057.6
0,1,1,0,0,0,0,0,0,1,1,1,1,1,0,0,73980.0
1,1,1,0,1,0,0,0,0,0,1,0,1,1,0,0,67196.0
0,1,1,1,1,1,0,1,0,0,1,0,1,1,0,0,83396.0
0,0,1,1,1,1,0,0,0,0,1,0,1,1,0,0,80914.6
1,1,0,0,1,0,1,0,1,0,1,0,0,1,0,0,67705.2
1,1,0,1,0,1,1,0,1,0,1,0,0,1,0,1,85055.2
1,1,1,0,0,0,1,0,1,0,1,0,0,1,0,1,74293.6
1,1,0,0,1,0,0,0,0,0,1,0,1,1,0,0,61197.8
1,1,0,1,0,1,1,0,0,0,1,0,0,1,0,1,83108.8
1,1,0,0,1,0,1,0,0,0,1,1,0,1,0,0,67030.6
0,1,1,0,0,0,0,1,1,0,1,1,1,0,1,1,72859.8
1,1,0,0,1,0,0,0,0,1,1,1,1,1,0,0,68187.2
1,1,0,0,1,0,1,0,0,0,1,1,1,1,0,0,68878.8
0,0,1,1,1,1,0,0,1,0,0,0,0,1,0,0,79107.0
1,1,0,0,1,0,0,0,0,0,1,0,1,1,1,0,60862.0
1,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0,59706.0
1,1,0,0,1,0,0,0,0,1,1,1,0,1,0,0,66648.0
1,1,0,0,1,0,1,0,0,0,1,1,0,1,0,0,67030.6
1,1,0,0,1,0,1,0,0,0,1,0,1,1,0,0,67253.8
1,1,1,0,1,0,0,0,0,0,1,1,0,1,0,0,66461.6
1,1,0,0,1,0,0,0,0,0,1,0,0,1,0,1,61606.0
1,0,1,0,0,0,1,0,0,1,1,1,1,0,1,0,78759.8
1,1,0,0,1,0,1,0,0,0,1,0,0,1,0,0,65654.2
1,1,0,0,1,0,0,0,0,1,1,1,1,1,0,0,68187.2
1,1,0,0,1,0,0,0,0,1,1,1,0,1,0,0,66648.0
1,1,0,1,1,0,0,0,0,0,1,0,0,1,1,1,77108.8
1,1,0,0,1,0,0,0,0,0,1,1,0,1,1,0,60801.8
1,1,0,0,1,0,0,0,1,0,0,0,0,1,0,1,60738.2
1,1,0,0,1,0,1,0,0,0,1,1,1,1,0,1,70984.8
1,1,0,1,1,0,0,0,0,0,1,0,0,1,0,0,73249.2
1,1,0,0,1,0,0,0,1,0,1,1,0,1,0,0,61599.2
1,1,1,0,1,0,1,0,0,0,1,0,0,1,0,1,74174.8
1,1,1,0,1,0,1,0,0,1,1,1,0,1,0,0,78929.4
1,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,59693.2
0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,60643.0
1,1,0,0,0,0,1,0,0,1,1,0,0,1,0,0,69958.6
1,1,1,0,1,0,1,0,0,0,1,1,0,1,1,0,73045.4
1,1,0,1,1,0,0,0,0,0,1,0,0,1,0,1,75798.6
1,1,1,0,1,0,0,0,0,0,1,1,1,1,1,0,68202.0
1,1,0,0,1,0,1,0,1,0,0,0,0,1,0,1,67176.4
1,1,0,0,1,0,0,0,0,1,0,1,1,1,0,0,65847.2
1,1,0,1,1,0,0,0,1,0,1,0,0,1,0,0,75350.4
