ee_instrument,simplifycfg,ipsccp,called_value_propagation,basicaa,instcombine,inline,mergereturn,jump_threading,pgo_memop_opt,tailcallelim,licm,sink,gvn,sccp,adce,Performance
0,1,0,1,1,0,1,1,0,1,1,0,1,0,1,1,90767.0
0,1,0,0,1,0,0,1,1,0,1,1,0,0,1,1,66023.4
0,0,1,0,1,0,1,0,1,1,0,0,0,1,0,0,76755.2
0,0,1,1,0,0,0,0,1,1,0,0,0,1,0,0,83930.2
0,1,0,1,0,1,1,1,1,0,0,1,0,0,0,1,83010.6
0,1,1,0,1,1,0,0,1,0,1,1,0,0,0,1,71118.8
0,0,0,0,0,0,1,0,1,0,0,1,0,1,1,0,63347.0
1,1,1,1,1,0,1,0,1,1,1,1,1,1,0,0,97447.8
0,1,1,0,0,0,1,1,0,1,0,1,0,1,0,0,74403.8
1,0,1,1,1,0,1,0,0,0,0,0,1,1,0,1,87549.2
0,0,1,0,0,0,0,1,0,1,0,1,0,1,0,1,72895.4
1,0,0,1,1,0,1,0,0,1,0,0,1,0,0,0,83830.8
0,0,1,1,0,1,0,1,1,0,1,1,1,1,0,0,86075.4
0,0,0,1,0,0,0,0,1,1,1,0,0,0,1,0,78095.6
0,0,0,0,1,1,1,1,0,0,1,1,0,0,0,0,66668.4
1,1,1,0,1,0,0,1,1,1,1,1,0,0,1,0,75013.0
0,0,0,0,0,0,1,0,0,1,0,1,1,1,0,1,73088.8
0,0,0,0,1,1,0,1,0,0,1,0,0,0,1,0,59004.4
1,1,1,0,1,1,0,0,1,1,1,0,0,1,1,0,74567.4
1,1,1,1,1,1,0,0,1,0,1,0,0,0,1,0,79872.8
1,0,1,0,1,1,1,0,0,0,1,1,1,0,1,1,79838.6
0,0,1,1,1,0,0,0,1,0,1,0,1,1,1,1,86624.6
0,0,0,0,0,1,1,1,0,1,0,1,1,1,0,1,76019.4
0,0,1,1,0,0,0,1,0,1,1,0,0,0,1,0,82192.2
0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,61172.2
1,0,0,1,1,1,0,0,0,0,1,0,1,1,1,1,79925.2
1,1,1,1,0,1,0,0,0,0,0,0,1,1,0,0,78927.0
0,1,0,0,0,1,1,1,1,1,0,0,1,1,1,0,73513.2
0,0,1,0,1,0,0,0,1,1,1,1,1,0,1,0,74965.6
1,1,0,1,0,1,0,1,0,1,1,1,0,1,1,0,83548.8
0,0,1,0,1,1,1,0,0,1,0,1,1,1,1,1,83254.4
1,0,1,1,0,0,0,0,1,1,0,0,0,0,1,0,81898.0
1,1,1,1,1,0,0,1,0,1,0,1,0,0,0,0,85285.8
1,0,1,1,0,0,0,1,1,1,0,1,0,0,0,0,85518.8
