fsync,synchronousCommit,fullPageWrites,trackActivities,trackCounts,sharedBuffers,tempBuffers,workMem,Performance
0,1,0,0,1,256,32,256,46163.4
0,0,0,1,1,256,32,256,47443.6
1,0,0,0,1,256,8,256,136333.8
1,1,0,0,0,64,2,256,132203.8
1,1,0,0,1,128,32,1024,133874.4
1,0,0,0,1,128,32,1024,132768.2
1,0,0,0,0,128,2,256,133624.8
1,0,0,1,0,64,2,1024,130483.0
0,1,0,0,1,128,32,256,46355.2
0,1,0,0,1,256,32,256,46163.4
0,0,0,1,1,256,32,256,47443.6
0,0,0,1,1,256,32,1024,46368.4
0,1,0,0,0,128,2,256,46022.8
1,1,0,0,0,64,32,256,132467.8
0,1,0,0,1,256,32,256,46163.4
0,0,0,1,1,64,32,256,46427.2
0,1,0,0,1,256,32,256,46163.4
0,1,0,0,1,128,32,4096,46213.6
1,1,0,0,1,128,32,1024,133874.4
1,0,0,0,0,128,2,4096,133393.2
0,1,0,0,1,128,32,4096,46213.6
0,0,0,1,1,256,8,1024,46307.6
0,0,0,1,1,64,32,256,46427.2
0,0,0,1,1,256,32,256,47443.6
0,0,0,1,1,256,32,1024,46368.4
0,0,0,1,1,256,32,4096,46507.4
0,1,0,1,1,64,32,1024,46378.6
0,0,0,0,0,128,2,256,46236.8
0,1,0,1,1,64,32,256,46402.4
1,0,0,0,1,256,32,256,135823.2
0,1,0,1,1,64,32,256,46402.4
0,1,0,0,0,128,32,4096,46197.8
0,1,0,1,1,256,8,256,46453.0
0,0,0,1,1,64,32,1024,46600.2
0,1,0,1,1,64,32,256,46402.4
0,1,0,0,1,128,32,4096,46213.6
0,1,0,0,0,128,2,256,46022.8
0,0,0,1,1,256,8,1024,46307.6
0,0,0,1,1,256,2,256,46438.2
0,0,0,1,1,256,32,1024,46368.4
0,0,0,1,1,128,8,1024,46358.4
0,0,0,1,1,256,8,1024,46307.6
0,0,0,0,1,64,32,4096,46073.6
0,1,0,1,1,64,32,256,46402.4
0,1,0,0,1,128,32,1024,46405.0
0,0,0,1,1,256,8,4096,46339.4
0,1,0,1,1,64,32,256,46402.4
0,1,0,1,1,64,32,256,46402.4
0,1,0,0,1,128,32,4096,46213.6
0,0,0,1,1,256,2,4096,46327.4
0,1,0,1,1,128,8,1024,47354.4
1,0,0,0,1,128,32,4096,132338.6
0,0,0,1,1,256,2,4096,46327.4
0,0,0,1,0,64,32,4096,46264.2
1,0,0,1,1,128,8,1024,135632.6
0,0,0,1,1,256,8,1024,46307.6
0,0,0,1,0,64,32,1024,46258.0
0,0,0,0,1,256,32,1024,46176.6
0,0,0,1,1,64,32,256,46427.2
0,1,0,1,1,64,32,1024,46378.6
0,0,0,0,1,64,8,1024,46184.4
0,0,0,0,1,256,32,1024,46176.6
0,0,0,0,1,256,32,4096,46070.8
0,0,0,1,1,256,2,1024,46274.2
0,0,0,0,1,256,32,1024,46176.6
0,0,0,1,1,256,2,4096,46327.4
0,0,0,1,0,64,32,4096,46264.2
0,0,0,0,1,256,32,1024,46176.6
0,0,0,0,1,128,32,4096,46304.6
1,0,0,0,1,256,32,1024,139426.0
0,0,1,0,1,64,8,1024,47386.4
0,1,1,0,1,256,32,1024,46493.8
0,0,0,1,1,64,8,1024,47331.0
0,0,0,0,1,256,2,4096,47094.8
0,0,0,0,1,64,32,4096,46073.6
0,0,0,1,0,64,2,256,46461.6
0,0,0,1,0,64,32,4096,46264.2
0,0,0,0,1,256,32,1024,46176.6
0,0,0,0,1,256,32,1024,46176.6
0,0,0,0,1,256,32,1024,46176.6
0,0,0,0,1,64,32,1024,46172.2
0,0,0,0,1,256,32,4096,46070.8
0,0,1,0,1,256,32,1024,45939.8
0,1,1,0,1,256,32,1024,46493.8
1,1,0,0,1,256,2,4096,132262.2
0,0,0,0,1,64,32,1024,46172.2
0,0,0,1,1,256,32,1024,46368.4
0,0,0,0,0,64,32,4096,46314.4
1,0,0,0,1,64,32,4096,128417.8
0,0,0,0,1,256,32,1024,46176.6
0,0,1,0,1,256,32,4096,47000.2
0,0,0,0,1,64,32,1024,46172.2
0,0,0,0,1,256,32,1024,46176.6
0,1,0,0,1,256,32,1024,46191.2
0,0,0,0,0,256,32,1024,46256.6
0,0,1,0,1,64,32,1024,46132.6
0,0,0,0,0,64,32,4096,46314.4
0,1,1,0,1,256,32,1024,46493.8
0,0,0,1,1,64,32,1024,46600.2
0,0,1,0,1,256,32,1024,45939.8
