fsync,synchronousCommit,fullPageWrites,trackActivities,trackCounts,sharedBuffers,tempBuffers,workMem,Performance
1,0,1,1,0,256,2,1024,136959.4
0,0,1,1,0,64,8,256,46557.4
1,1,0,0,1,256,8,1024,133251.6
0,1,1,0,0,256,32,1024,46047.4
0,0,0,1,1,128,32,4096,46343.6
0,0,0,1,0,128,32,4096,46365.0
1,0,1,1,0,64,8,1024,138765.2
0,1,1,0,1,128,32,1024,46436.8
1,0,1,0,1,256,2,4096,134923.2
1,0,1,1,0,128,2,1024,140842.0
1,0,0,0,1,128,2,256,135331.6
0,0,1,0,1,256,2,4096,46301.0
0,1,0,1,0,64,2,256,46355.4
1,1,1,1,0,256,2,256,129518.8
0,0,0,0,1,256,8,4096,46282.0
1,1,1,0,0,128,32,1024,132014.6
0,1,0,0,1,128,2,4096,46277.6
0,1,0,0,1,256,2,1024,46142.2
0,0,0,0,1,128,32,1024,46299.2
0,0,1,1,0,64,2,1024,46456.0
1,0,0,0,0,256,32,1024,136341.4
1,0,0,1,0,128,8,1024,136143.6
0,0,0,1,0,64,8,4096,46361.2
0,0,0,1,0,128,8,256,46366.6
1,0,0,0,1,64,8,256,133634.4
0,1,1,0,0,256,2,4096,46427.0
0,0,1,1,1,64,32,4096,46738.6
0,1,1,0,0,64,2,256,46338.6
1,0,0,0,0,256,2,4096,132200.2
1,1,0,1,1,256,32,1024,127450.4
1,1,0,0,0,256,32,1024,131767.4
0,0,0,1,1,64,8,4096,46806.6
1,1,0,1,0,64,2,1024,139402.4
1,1,1,0,0,64,8,1024,133447.6
1,0,1,0,0,256,8,1024,138245.2
1,0,0,1,0,256,8,256,134239.4
0,1,0,0,0,128,8,4096,46379.2
1,1,0,1,1,256,8,256,132543.6
0,0,0,0,0,256,2,1024,46194.6
0,1,0,1,0,256,8,256,46658.8
1,0,1,0,1,256,8,4096,136736.2
0,1,0,1,0,64,2,4096,46433.0
0,0,1,0,1,64,32,4096,47106.4
0,1,1,0,1,64,8,256,46219.0
1,0,1,0,0,64,8,4096,136884.0
0,1,0,0,0,256,2,4096,46096.4
0,1,1,0,1,128,8,1024,46188.8
0,0,0,0,0,256,32,256,46275.0
1,0,1,0,1,128,2,1024,135485.6
1,0,1,0,1,256,8,4096,136736.2
0,1,0,0,1,64,32,4096,46295.6
1,0,0,1,0,256,8,4096,131930.8
0,1,0,1,0,256,2,1024,46350.2
1,0,1,1,1,128,8,256,136436.0
0,0,0,1,0,256,8,1024,46393.4
1,0,1,0,0,128,8,1024,130578.0
1,1,1,1,0,128,8,1024,129666.0
0,1,1,0,1,128,2,1024,46282.6
1,0,0,1,0,128,2,256,132275.4
1,1,0,1,0,128,8,4096,132048.8
0,0,1,0,0,128,8,1024,46245.0
0,0,0,0,0,256,2,256,46207.6
1,0,0,1,1,256,2,4096,134019.0
0,1,1,0,0,64,2,4096,46357.8
0,1,0,0,0,256,2,4096,46096.4
0,0,0,1,1,128,32,256,46408.2
1,0,0,1,1,256,8,1024,135590.6
1,1,1,1,1,64,8,1024,131358.0
0,0,0,1,1,128,32,256,46408.2
0,0,1,0,0,64,32,1024,46389.6
1,0,1,1,1,256,8,256,136729.2
0,1,0,1,1,128,32,4096,46394.0
1,1,1,0,0,64,8,256,130526.8
0,0,1,1,1,256,32,256,46605.0
0,0,0,0,0,128,32,4096,46476.2
0,1,0,1,0,256,2,4096,47670.8
1,0,1,0,1,128,32,4096,138524.6
1,0,0,1,0,128,8,256,132011.0
1,0,0,0,0,128,2,256,133624.8
1,1,1,1,1,64,32,4096,131409.8
1,0,1,0,1,128,8,1024,136768.0
0,1,0,1,1,128,32,1024,46648.6
0,1,0,1,0,128,8,256,46439.6
1,0,0,1,1,128,2,4096,134644.0
1,1,1,1,1,128,2,4096,131763.6
0,1,1,0,1,256,32,4096,46447.8
1,0,0,1,1,64,2,1024,133912.8
0,1,1,1,1,64,8,4096,46753.4
1,0,1,1,1,128,8,4096,136724.4
0,1,0,1,1,256,32,4096,47368.0
1,0,0,1,1,256,2,1024,135362.8
0,0,1,0,0,64,2,256,46097.4
1,1,0,1,1,256,32,4096,126458.8
1,0,1,0,1,64,2,4096,137289.0
1,0,0,1,1,256,2,256,131810.4
1,0,0,0,1,128,8,256,133596.6
1,0,0,0,0,64,8,1024,132700.0
0,0,0,0,1,256,32,4096,46070.8
0,0,1,1,0,64,2,4096,46806.8
1,1,1,1,1,64,32,256,132168.8
