WindowSize,CompressionLevel,Performance
18,1,1.63
20,5,7.45
14,9,7.404
24,4,2.708
20,1,1.636
20,1,1.636
11,10,343.594
20,4,2.808
20,9,17.4
24,1,1.57
20,5,7.45
20,4,2.808
20,4,2.808
14,1,1.46
20,4,2.808
20,5,7.45
18,4,2.824
20,1,1.636
24,1,1.57
24,1,1.57
20,4,2.808
20,4,2.808
14,4,2.894
20,1,1.636
24,5,7.154
20,1,1.636
14,1,1.46
24,1,1.57
14,4,2.894
20,1,1.636
14,4,2.894
14,1,1.46
14,1,1.46
24,4,2.708
20,1,1.636
20,1,1.636
17,1,1.612
20,1,1.636
20,11,246.08
14,1,1.46
14,1,1.46
14,1,1.46
14,4,2.894
14,1,1.46
20,1,1.636
23,1,1.572
14,1,1.46
14,1,1.46
14,4,2.894
14,1,1.46
14,1,1.46
14,1,1.46
20,1,1.636
23,1,1.572
14,1,1.46
14,1,1.46
14,1,1.46
14,10,301.488
20,1,1.636
14,1,1.46
14,1,1.46
20,1,1.636
14,1,1.46
14,1,1.46
14,1,1.46
13,1,1.514
23,1,1.572
14,1,1.46
14,1,1.46
23,7,20.474
14,1,1.46
14,1,1.46
14,1,1.46
16,9,9.094
14,1,1.46
14,1,1.46
14,1,1.46
14,1,1.46
14,1,1.46
14,1,1.46
14,1,1.46
11,1,1.526
14,1,1.46
14,1,1.46
14,1,1.46
14,1,1.46
14,1,1.46
14,1,1.46
10,6,3.386
14,1,1.46
14,1,1.46
14,1,1.46
14,1,1.46
14,1,1.46
14,1,1.46
14,1,1.46
14,1,1.46
14,1,1.46
14,1,1.46
14,1,1.46
