topology.workers,component.bolt_num,topology.acker.executors,message.size,component.spout_num,topology.serialized.message.size.metrics,topology.max.spout.pending,storm.messaging.netty.min_wait_ms,topology.transfer.buffer.size,storm.messaging.netty.max_wait_ms,topology.level,topology.priority,Performance
2,10,2,10,1,1,1,1000,1024,10000,5,29,0.0150597200491
4,10,4,1000000,10,1,1000,10,1024,10000,5,29,2.0
2,10,2,1000000,10,1,1000,10,1024,10000,5,29,2.0
2,10,2,10,1,1,1,1000,1024,10000,5,29,0.0150597200491
2,10,2,10,10,0,1000,1000,1024,10000,2,29,0.781407326004
2,10,2,1000000,1,1,1000,10,1024,10000,5,29,2.0
2,10,2,10,1,1,1000,10,1024,10000,5,29,2.0
2,10,2,10,1,1,1000,10,1024,10000,2,29,2.0
2,10,4,10,1,0,1,10,512,10000,5,29,2.0
4,1,4,1000000,10,0,1,10,1024,100,2,29,0.00542117239492
2,10,2,10,1,1,1,1000,512,10000,5,29,0.0147506001964
2,10,2,10,1,1,1,1000,1024,10000,5,29,0.0150597200491
2,10,2,10,1,1,1,1000,1024,10000,5,29,0.0150597200491
2,1,2,10,1,1,1,1000,1024,10000,5,0,0.0150746994252
4,1,4,1000000,1,1,1,1000,1024,10000,5,0,0.00089740080589
2,10,2,10,10,1,1,10,1024,100,2,29,0.148894998659
4,10,4,1000000,10,1,1000,10,1024,10000,5,29,2.0
2,10,2,1000000,10,1,1000,10,1024,10000,5,29,2.0
4,1,2,10,1,1,1000,1000,1024,10000,2,29,0.468721020014
2,10,2,10,1,1,1,1000,1024,10000,5,29,0.0150597200491
4,1,4,1000000,1,1,1000,1000,1024,10000,5,0,1.36176146569e-06
4,1,4,1000000,1,1,1,1000,1024,100,5,0,2.0
2,10,2,10,1,1,1,1000,1024,10000,5,29,0.0150597200491
2,10,2,10,10,1,1000,1000,1024,10000,5,29,0.275378127115
2,10,2,1000000,1,1,1,1000,1024,10000,5,29,0.000998171154352
2,10,2,10,1,1,1,1000,512,10000,5,29,0.0147506001964
2,10,2,10,1,1,1,1000,1024,10000,5,0,0.014945332086
2,1,2,10,1,1,1,1000,512,10000,5,0,0.0147710266184
4,1,2,10,1,1,1000,1000,1024,10000,2,29,0.468721020014
