new_column3,new_column2,new_column,no_8x8dct,no_cabac,no_deblock,no_fast_pskip,no_mbtree,no_mixed_refs,no_weightb,Performance
3,1,2,0,1,1,1,1,0,0,33.396
2,1,3,1,1,0,1,0,1,1,43.268
2,1,3,1,1,1,1,0,0,0,43.45
2,2,3,0,1,1,0,1,0,0,71.068
2,2,1,1,0,0,1,1,1,1,63.256
3,1,1,0,0,1,0,1,0,0,33.69
2,1,3,1,1,1,1,1,0,0,45.894
2,2,1,0,1,1,0,1,0,1,71.26
4,1,3,1,1,1,1,0,0,0,23.282
1,2,2,1,1,0,0,0,0,0,114.79
4,1,3,1,1,0,1,0,1,1,23.238
2,1,3,0,1,1,1,0,0,0,46.466
2,1,3,1,1,1,1,0,0,0,43.45
4,1,3,1,1,0,1,1,1,0,23.132
2,1,3,1,1,1,1,0,0,0,43.45
4,3,3,1,1,1,1,0,0,0,48.082
4,1,2,0,1,1,0,1,0,0,24.8
2,2,3,0,1,1,1,0,0,0,69.676
2,1,3,1,0,1,0,1,0,0,46.748
3,2,1,0,0,1,1,0,0,1,50.184
3,3,3,0,1,1,0,1,0,0,66.78
2,1,3,1,1,1,1,0,1,0,43.338
4,3,3,0,1,1,1,1,0,0,52.51
4,1,2,1,1,1,1,0,0,0,22.59
2,1,3,1,1,1,0,1,0,0,45.726
4,1,2,0,1,1,1,0,0,0,24.202
2,1,3,1,1,1,1,0,1,0,43.338
4,1,3,1,1,0,1,1,0,1,23.082
4,1,3,1,1,0,1,1,1,0,23.132
4,1,3,1,1,0,1,0,1,1,23.238
1,3,3,1,1,1,1,0,1,1,150.78
4,1,3,1,1,1,1,0,0,0,23.282
4,1,3,1,0,0,1,1,0,1,23.686
4,1,1,1,1,0,1,1,0,1,23.192
4,1,3,1,1,0,1,1,1,0,23.132
4,1,3,1,1,0,1,1,0,1,23.082
4,1,3,1,1,0,1,1,1,0,23.132
1,1,3,1,1,0,1,1,0,1,87.292
4,1,2,1,0,1,1,0,0,0,23.194
4,1,2,1,1,1,1,0,0,0,22.59
4,1,3,1,0,1,1,0,0,0,23.934
4,1,2,1,1,0,1,1,1,0,23.194
4,1,3,1,1,1,1,0,0,0,23.282
4,1,2,1,1,0,1,1,0,1,23.264
4,2,3,1,1,0,1,1,0,1,35.776
4,1,3,1,0,0,1,1,1,0,23.65
4,1,3,1,1,0,1,0,0,0,23.358
4,1,2,1,1,1,1,0,1,1,22.664
2,1,2,1,1,1,1,0,0,0,42.712
4,1,2,1,0,1,1,0,0,0,23.194
4,1,3,1,1,1,1,0,1,1,23.268
3,1,2,1,0,0,1,1,1,0,31.762
4,1,2,1,1,1,1,0,1,1,22.664
4,1,2,1,1,0,1,1,1,0,23.194
4,1,2,1,1,0,1,1,0,0,23.02
4,1,2,1,0,1,1,0,0,0,23.194
4,1,2,1,0,1,1,0,0,0,23.194
4,1,2,1,0,1,1,0,0,0,23.194
4,3,3,1,1,1,1,0,0,0,48.082
3,1,2,0,1,0,1,1,0,1,33.708
4,1,2,1,1,0,1,0,0,0,22.842
4,1,3,1,0,1,1,1,0,0,23.672
4,2,2,1,1,0,1,1,1,1,31.878
4,1,2,1,1,1,1,0,0,0,22.59
2,1,2,1,0,0,1,1,1,0,47.286
3,1,2,1,0,1,1,0,0,0,30.544
4,1,2,1,1,1,1,0,0,1,22.816
3,1,2,1,0,1,1,0,0,0,30.544
3,1,2,1,0,1,1,0,0,0,30.544
4,1,2,1,0,1,1,0,0,0,23.194
4,1,2,1,1,1,1,0,0,1,22.816
4,1,2,1,1,0,1,0,0,0,22.842
3,1,2,1,0,1,1,0,0,0,30.544
3,3,2,1,0,1,0,0,1,0,50.354
4,1,2,1,1,0,1,0,0,0,22.842
4,1,2,1,0,1,1,1,0,1,23.932
3,1,2,1,0,1,1,0,0,0,30.544
4,1,2,1,1,1,1,0,0,0,22.59
4,1,2,1,1,1,1,0,0,0,22.59
3,1,2,1,1,1,1,0,0,1,29.398
4,1,2,1,1,0,1,0,0,0,22.842
4,3,2,1,1,0,0,0,0,0,43.108
4,1,2,0,1,0,1,0,0,0,24.13
4,1,2,1,1,0,1,0,0,0,22.842
4,1,2,1,1,0,1,0,0,1,22.486
4,1,2,1,0,1,1,1,0,0,23.858
4,1,1,1,1,1,1,0,0,0,21.942
4,1,2,1,1,0,0,0,0,0,22.312
3,1,2,1,0,1,1,1,0,1,32.136
4,1,2,1,0,1,1,0,0,0,23.194
4,1,1,1,1,1,1,1,0,0,23.178
4,1,2,1,1,1,1,0,0,0,22.59
4,1,2,1,0,0,1,0,0,0,23.396
4,1,2,0,0,1,1,1,0,0,25.318
4,2,1,1,1,1,1,1,1,0,31.514
3,1,2,1,0,1,1,0,0,0,30.544
1,1,1,1,1,0,1,0,0,1,79.144
4,1,2,1,1,1,1,0,0,0,22.59
3,1,1,1,1,1,1,0,0,0,29.174
1,1,1,1,1,1,0,0,0,0,78.416
