new_column3,new_column2,new_column,no_8x8dct,no_cabac,no_deblock,no_fast_pskip,no_mbtree,no_mixed_refs,no_weightb,Performance
1,1,3,1,1,0,0,1,0,1,86.6
2,2,1,0,1,1,1,1,0,1,74.9
2,3,2,1,1,0,0,0,1,0,72.204
4,3,2,1,0,1,0,1,1,1,39.394
4,2,1,0,0,0,0,0,0,1,33.488
1,2,3,1,0,0,1,0,1,0,112.858
3,2,3,1,1,1,0,1,0,0,46.408
1,3,3,1,1,1,1,0,0,1,172.042
4,1,2,0,1,0,1,0,1,0,24.244
3,2,1,1,1,0,1,0,1,0,41.268
1,3,1,1,1,0,1,0,1,1,149.672
4,1,1,1,0,0,0,1,1,0,23.52
2,3,3,0,0,1,1,0,1,0,84.32
4,3,2,1,1,0,0,1,1,1,39.018
4,2,2,0,0,1,1,1,1,0,33.394
4,1,2,1,1,1,1,1,0,0,23.148
2,3,3,1,1,1,1,1,0,1,98.794
1,1,1,1,0,0,0,0,0,0,80.742
1,3,3,1,0,0,1,0,1,0,152.032
4,1,1,0,1,1,0,1,1,0,24.768
2,2,1,1,0,1,1,1,1,0,63.11
1,3,2,1,1,1,1,1,1,0,157.242
1,2,3,1,0,1,0,0,1,0,105.498
3,3,3,1,0,0,0,0,0,0,59.162
2,1,2,0,1,1,1,1,0,1,49.666
4,3,2,0,0,1,1,1,1,1,44.722
4,2,3,0,1,1,1,1,0,0,37.944
3,2,3,1,1,0,0,1,1,0,39.958
3,2,1,1,0,0,0,1,1,0,40.666
1,2,3,0,0,0,0,1,1,1,119.258
4,3,3,1,1,0,1,1,1,0,42.708
1,2,3,1,0,0,0,1,1,1,113.46
4,1,3,1,0,1,0,1,1,1,23.756
3,1,1,1,0,0,1,1,0,1,32.376
4,3,3,1,1,0,0,1,0,0,46.102
4,3,3,1,1,0,1,1,0,1,50.296
1,1,1,0,0,1,0,0,1,1,85.784
3,3,3,0,0,1,0,0,1,1,52.234
3,2,2,0,0,1,1,0,0,1,50.812
3,3,2,0,0,1,1,1,1,0,61.69
2,3,3,0,1,1,0,1,0,1,95.62
3,2,2,1,0,1,1,0,0,1,47.934
1,3,2,1,0,1,1,0,0,0,172.904
1,3,3,0,0,0,0,1,0,0,181.98
4,3,1,1,1,0,1,0,0,1,46.604
4,1,3,1,1,0,0,1,1,1,23.334
3,2,2,1,0,0,1,1,0,1,50.702
1,2,3,1,0,0,1,1,1,1,119.416
1,1,1,0,0,1,1,1,1,1,95.476
4,3,3,0,0,1,0,0,0,0,46.72
2,2,2,0,1,1,0,1,0,1,71.19
4,1,3,1,0,0,0,1,1,0,23.766
1,1,1,1,1,1,1,0,1,0,79.33
1,1,1,1,0,1,1,0,0,1,81.904
2,2,3,1,0,1,1,1,0,0,71.35
2,3,3,0,1,0,0,0,1,0,75.59
1,3,1,0,1,0,0,0,0,0,163.014
4,1,3,1,0,0,0,0,1,0,23.552
3,2,1,0,1,0,1,1,0,0,53.272
1,3,2,1,0,0,0,0,1,1,137.542
4,3,1,0,1,1,1,0,0,0,48.892
1,2,2,1,1,1,0,1,0,1,126.804
1,2,2,0,1,0,0,0,1,1,108.868
3,2,3,0,0,0,0,0,0,1,46.666
1,3,2,1,1,1,0,0,0,0,157.06
4,1,3,1,0,0,0,1,0,0,23.73
1,1,3,1,1,0,0,1,1,0,85.976
2,1,1,0,1,0,1,0,1,1,45.322
2,3,3,1,1,0,0,1,0,1,90.614
4,3,1,0,0,1,0,1,0,0,49.422
1,1,2,1,0,1,0,1,0,1,88.8
1,2,1,1,1,0,1,1,0,1,132.76
1,1,2,1,1,1,0,0,1,0,79.318
4,3,3,0,0,1,1,1,0,0,53.13
3,2,3,0,1,0,1,0,0,1,50.168
3,3,3,1,0,0,1,1,1,0,59.404
2,1,1,0,0,0,1,1,0,0,50.154
1,3,2,1,1,0,0,0,0,0,156.276
2,2,3,1,1,0,0,0,1,1,55.532
1,3,1,1,1,1,0,0,0,0,156.346
4,2,1,0,0,1,0,1,0,1,36.458
2,1,3,0,0,1,0,0,1,1,46.356
4,1,3,1,0,0,1,1,0,1,23.686
4,3,3,1,0,1,1,0,0,0,48.304
1,2,2,1,0,0,1,0,0,0,124.236
1,3,3,1,0,0,1,0,1,1,152.3
4,2,2,1,0,0,1,0,1,1,31.35
3,2,2,0,0,1,1,0,0,1,50.812
3,2,2,1,0,1,0,0,1,0,38.666
1,1,2,0,0,0,0,1,0,0,93.892
4,3,3,1,0,1,0,0,0,1,44.148
4,2,1,1,0,0,1,1,0,0,35.894
4,1,3,1,0,0,0,1,0,0,23.73
2,2,1,1,1,1,1,0,1,1,58.852
3,3,2,1,1,0,0,1,1,0,52.184
2,3,2,0,0,0,1,0,0,0,97.458
3,3,3,1,1,0,1,1,0,0,70.802
4,3,2,0,0,0,1,1,1,0,44.466
2,2,1,1,0,0,0,0,0,0,61.57
1,2,1,1,0,0,0,0,0,1,115.876
